Team;GW1;GW2;GW3;GW4;GW5;GW6;GW7;GW8;GW9;GW10;GW11;GW12;GW13;GW14;GW15;GW16;GW17;GW18;GW19;GW20;GW21;GW22;GW23;GW24;GW25;GW26;GW27;GW28;GW29;GW30;GW31;GW32;GW33;GW34;GW35
MCI;1,092;1,094;1,091;1,093;1,105;1,11;1,113;1,119;1,12;1,125;1,134;1,137;1,141;1,143;1,145;1,138;1,144;1,146;1,151;1,152;1,153;1,149;1,15;1,145;1,146;1,147;1,143;1,147;1,152;1,154;1,157;1,157;1,148;1,136;1,144
LIV;1,075;1,076;1,08;1,086;1,076;1,073;1,074;1,071;1,072;1,071;1,073;1,078;1,081;1,082;1,086;1,094;1,091;1,086;1,091;1,091;1,093;1,095;1,098;1,103;1,095;1,097;1,097;1,106;1,108;1,109;1,106;1,109;1,121;1,123;1,124
TOT;1,104;1,106;1,1;1,096;1,106;1,102;1,107;1,109;1,11;1,117;1,12;1,121;1,117;1,114;1,107;1,106;1,108;1,109;1,104;1,109;1,111;1,111;1,109;1,112;1,108;1,114;1,115;1,119;1,121;1,113;1,118;1,118;1,123;1,125;1,114
MUN;1,086;1,089;1,094;1,097;1,095;1,1;1,108;1,11;1,11;1,104;1,11;1,105;1,1;1,103;1,106;1,114;1,109;1,11;1,112;1,11;1,106;1,102;1,106;1,108;1,11;1,104;1,106;1,096;1,1;1,102;1,097;1,097;1,099;1,105;1,099
CHE;1,117;1,107;1,112;1,115;1,118;1,116;1,126;1,12;1,105;1,11;1,105;1,109;1,115;1,117;1,118;1,117;1,109;1,111;1,112;1,11;1,111;1,113;1,113;1,109;1,112;1,097;1,084;1,085;1,081;1,079;1,078;1,078;1,071;1,068;1,074
ARS;1,08;1,082;1,075;1,069;1,07;1,075;1,077;1,079;1,069;1,079;1,075;1,071;1,079;1,076;1,078;1,071;1,07;1,067;1,068;1,068;1,071;1,068;1,069;1,062;1,065;1,056;1,06;1,057;1,052;1,052;1,057;1,057;1,066;1,068;1,062
LEI;1,004;1,002;1,004;1,002;0,998;0,997;0,992;0,992;0,987;0,994;0,999;1;0,997;0,997;1,004;1,007;1,011;1,019;1,006;1,009;1,003;1,001;1,004;1,008;1,011;1,006;1,004;1,002;0,999;0,997;1,005;1,005;1,01;1,003;0,997
BUR;0,952;0,961;0,956;0,96;0,963;0,966;0,963;0,969;0,966;0,967;0,97;0,976;0,98;0,978;0,983;0,98;0,977;0,986;0,986;0,981;0,985;0,984;0,981;0,977;0,974;0,974;0,978;0,973;0,971;0,976;0,985;0,985;0,988;0,993;0,993
EVE;1,024;1,028;1,031;1,028;1,021;1,011;1,008;1,001;0,997;0,987;0,977;0,981;0,98;0,962;0,969;0,978;0,982;0,986;0,99;0,992;0,992;0,987;0,984;0,981;0,979;0,984;0,979;0,983;0,978;0,975;0,98;0,985;0,982;0,985;0,985
NEW;0,949;0,946;0,94;0,948;0,954;0,958;0,953;0,955;0,954;0,96;0,956;0,951;0,949;0,941;0,942;0,941;0,937;0,932;0,931;0,938;0,936;0,935;0,941;0,941;0,939;0,939;0,941;0,949;0,95;0,949;0,957;0,957;0,959;0,966;0,972
