FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Almen;Abdi;MID;WAT;5000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chelsea;Arsenal;West Ham;Man Utd;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie;Adam;MID;STK;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albert;Adomah;MID;MID;5400000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Sunderland;West Brom;Crystal Palace;Everton;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Adrian;GLK;WHU;5000000;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Bournemouth;Man City;Watford;West Brom;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibrahim;Afellay;MID;STK;5400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benik;Afobe;FWD;BOU;5700000;1;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergio;Aguero;FWD;MCI;13000000;6;6;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;90;;;;;Stoke;West Ham;Man Utd;Bournemouth;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ola;Aina;DEF;CHE;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Watford;Burnley;Swansea;Liverpool;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nathan;Ake;DEF;BOU;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chuba;Akpom;FWD;ARS;5200000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Leicester;Watford;Southampton;Hull;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marc;Albrighton;MID;LEI;5300000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arsenal;Swansea;Liverpool;Burnley;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toby;Alderweireld;DEF;TOT;6500000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;Liverpool;Stoke;Sunderland;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trent;Alexander-Arnold;MID;LIV;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Tottenham;Leicester;Chelsea;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joe;Allen;MID;STK;4800000;1;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bamidele;Alli;MID;TOT;8300000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Crystal Palace;Liverpool;Stoke;Sunderland;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcos;Alonso;DEF;CHE;5900000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Watford;Burnley;Swansea;Liverpool;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel;Amartey;MID;LEI;4500000;1;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;Arsenal;Swansea;Liverpool;Burnley;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordi;Amat;DEF;SWA;4100000;5;5;;;;;;1;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Hull;Leicester;Chelsea;Southampton;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordin;Amrabat;MID;WAT;5000000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Chelsea;Arsenal;West Ham;Man Utd;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Keshi;Anderson;FWD;CRY;4500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Bournemouth;Middlesbrough;Stoke;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Angelino;DEF;MCI;4400000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stoke;West Ham;Man Utd;Bournemouth;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Victor;Anichebe;FWD;SUN;4500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Middlesbrough;Southampton;Everton;Tottenham;Crystal Palace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Michail;Antonio;MID;WHU;7300000;0;0;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;Bournemouth;Man City;Watford;West Brom;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ikechi;Anya;MID;WAT;4500000;1;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;Chelsea;Arsenal;West Ham;Man Utd;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
