ARS;H;A;A;H;A;H;H;A;A;H;A;H;A;H;H;A;A;H;H;A;A;H;;A;H;A;H;A;H;A;H;;H;H;A;;H;A;H;A;A
BHA;H;A;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;H;A;A;H;;A;H;A;H;A;H;H;A;;H;H;A;H;;A;H;A;A
BOU;A;H;H;A;H;A;H;A;A;H;A;H;A;H;H;A;A;H;A;H;H;A;;H;A;A;H;A;H;A;H;H;A;H;A;H;;A;H;;A
BUR;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;H;A;H;A;A;H;;A;H;A;H;A;H;H;A;;A;A;H;H;A;H;A;;H
CHE;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;A;H;H;A;;H;A;H;A;H;A;A;H;;H;H;A;A;;A;H;H;A
CRY;H;A;H;A;H;A;A;H;A;H;A;H;H;A;A;H;H;A;A;H;H;A;;H;A;A;H;A;H;H;A;A;H;A;H;;A;H;A;;H
EVE;H;A;A;H;A;H;H;A;H;A;H;A;A;H;H;A;A;H;H;A;A;H;;A;H;H;A;H;A;A;H;A;H;H;A;;H;A;H;;A
HUD;A;H;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;H;A;;H;A;H;A;H;A;A;H;H;A;A;H;;;H;A;A;H
LEI;A;H;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;H;A;A;H;;A;H;A;H;A;H;H;A;;A;H;A;H;;A;H;H;A
LIV;A;H;H;A;H;A;A;H;A;H;A;H;H;A;A;H;H;A;A;H;H;A;;H;A;A;H;A;H;H;A;H;A;A;H;;A;H;A;;H
MCI;A;H;A;H;A;H;A;H;H;A;H;A;A;H;H;A;A;H;H;A;A;H;;A;H;H;A;H;A;H;A;;A;H;A;;H;A;H;H;A
MUN;H;A;H;A;H;A;H;A;A;H;A;H;H;A;A;H;H;A;A;H;H;A;;H;A;A;H;A;H;A;H;;H;A;H;A;;H;A;A;H
NEW;H;A;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;H;A;;H;A;H;A;H;A;A;H;;H;A;H;;A;H;A;A;H
SOU;H;H;A;H;A;H;A;H;H;A;H;A;H;A;A;H;H;A;H;A;A;H;;A;H;H;A;H;A;H;A;;A;A;H;A;;H;A;A;H
STK;A;H;A;H;A;H;H;A;H;A;H;A;A;H;H;A;A;H;H;A;A;H;;A;H;H;A;H;A;A;H;H;A;H;A;;H;A;H;;A
SWA;A;H;A;H;A;H;A;H;H;A;H;A;H;A;A;H;H;A;H;A;A;H;;A;H;H;A;H;A;H;A;;A;A;H;;A;H;A;H;H
TOT;A;H;H;A;H;A;A;H;H;A;H;A;H;A;A;H;H;A;A;H;;A;H;H;A;H;A;H;A;H;A;;A;A;H;A;;H;A;H;H
WAT;H;A;H;A;H;A;A;H;A;H;A;H;A;H;H;A;A;H;A;H;H;A;;H;A;A;H;A;H;H;A;A;H;H;A;;H;A;H;;A
WBA;H;A;H;A;H;A;H;A;A;H;A;H;A;H;H;A;A;H;A;H;H;A;;H;A;A;H;A;H;A;H;A;H;H;A;;H;A;H;;A
WHU;A;A;A;H;A;H;H;A;H;A;H;A;H;A;A;H;H;A;H;A;;H;A;A;H;H;A;H;A;A;H;;H;A;H;;A;H;A;H;H
