Team;GW1;GW2;GW3;GW4;GW5;GW6;GW7;GW8;GW9;GW10;GW11;GW12;GW13;GW14;GW15;GW16;GW17;GW18;GW19;GW20;GW21;GW22;GW23;GW24;GW25;GW26;GW27;GW28;GW29;GW30;GW31;GW32;GW33;GW34;GW35;GW36;GW37;GW38
ARS;H;A;A;H;A;H;H;A;A;H;A;H;A;H;H;A;A;H;H;A;A;H;A;H;A;H;A;H;A;H;N;H;H;A;H;A;D;A
BHA;H;A;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;H;A;A;H;A;H;A;H;A;H;H;A;N;H;H;D;N;A;D;A
BOU;A;H;H;A;H;A;H;A;A;H;A;H;A;H;H;A;A;H;A;H;H;A;H;A;A;H;A;H;A;H;H;A;H;D;N;A;H;A
BUR;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;H;A;H;A;A;H;A;H;A;H;A;H;H;A;N;A;A;D;A;H;A;H
CHE;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;A;H;H;A;H;A;H;A;H;A;A;H;N;H;H;D;N;A;D;A
CRY;H;A;H;A;H;A;A;H;A;H;A;H;H;A;A;H;H;A;A;H;H;A;H;A;A;H;A;H;H;A;A;H;A;H;A;H;A;H
EVE;H;A;A;H;A;H;H;A;H;A;H;A;A;H;H;A;A;H;H;A;A;H;A;H;H;A;H;A;A;H;A;H;H;A;H;A;H;A
HUD;A;H;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;H;A;H;A;H;A;H;A;A;H;H;A;A;H;N;H;D;H
LEI;A;H;A;H;A;H;A;H;A;H;A;H;A;H;H;A;A;H;H;A;A;H;A;H;A;H;A;H;H;A;N;A;H;D;N;A;D;A
LIV;A;H;H;A;H;A;A;H;A;H;A;H;H;A;A;H;H;A;A;H;H;A;H;A;A;H;A;H;H;A;H;A;A;H;A;H;A;H
MCI;A;H;A;H;A;H;A;H;H;A;H;A;A;H;H;A;A;H;H;A;A;H;A;H;H;A;H;A;H;A;N;A;H;A;H;A;D;A
MUN;H;A;H;A;H;A;H;A;A;H;A;H;H;A;A;H;H;A;A;H;H;A;H;A;A;H;A;H;A;H;N;H;A;D;N;H;D;H
NEW;H;A;H;A;H;A;H;A;H;A;H;A;H;A;A;H;H;A;A;H;H;A;H;A;H;A;H;A;A;H;N;H;A;H;A;H;D;H
SOU;H;H;A;H;A;H;A;H;H;A;H;A;H;A;A;H;H;A;H;A;A;H;A;H;H;A;H;A;H;A;N;A;A;D;N;H;D;H
STK;A;H;A;H;A;H;H;A;H;A;H;A;A;H;H;A;A;H;H;A;A;H;A;H;H;A;H;A;A;H;H;A;H;A;H;A;H;A
SWA;A;H;A;H;A;H;A;H;H;A;H;A;H;A;A;H;H;A;H;A;A;H;A;H;H;A;H;A;H;A;N;A;A;H;A;H;D;H
TOT;A;H;H;A;H;A;A;H;H;A;H;A;H;A;A;H;H;A;A;H;N;D;H;A;H;A;H;A;H;A;N;A;A;D;N;H;D;H
WAT;H;A;H;A;H;A;A;H;A;H;A;H;A;H;H;A;A;H;A;H;H;A;H;A;A;H;A;H;H;A;A;H;H;A;H;A;H;A
WBA;H;A;H;A;H;A;H;A;A;H;A;H;A;H;H;A;A;H;A;H;H;A;H;A;A;H;A;H;A;H;A;H;H;A;H;A;H;A
WHU;A;A;A;H;A;H;H;A;H;A;H;A;H;A;A;H;H;A;H;A;N;D;A;H;H;A;H;A;A;H;N;H;A;H;A;H;D;H
