Team;GW1;GW2;GW3;GW4;GW5;GW6;GW7;GW8;GW9;GW10;GW11;GW12;GW13;GW14;GW15;GW16;GW17;GW18;GW19;GW20;GW21;GW22;GW23;GW24;GW25;GW26;GW27;GW28;GW29;GW30;GW31;GW32;GW33;GW34
MCI;1.039473684;1.039473684;1.028947368;1.034210526;1.044736842;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05;1.05
MUN;1.023684211;1.05;1.05;1.05;1.05;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.039473684;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842;1.044736842
LIV;1.034210526;1.007894737;1.023684211;1.044736842;1.013157895;1.013157895;1.028947368;1.018421053;1.013157895;1.007894737;1.023684211;1.028947368;1.028947368;1.023684211;1.028947368;1.034210526;1.034210526;1.028947368;1.034210526;1.034210526;1.034210526;1.034210526;1.034210526;1.039473684;1.034210526;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.034210526;1.039473684;1.039473684;1.039473684
TOT;1.044736842;1.034210526;1.002631579;1.007894737;1.028947368;1.028947368;1.034210526;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.034210526;1.028947368;1.018421053;1.023684211;1.023684211;1.034210526;1.018421053;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368;1.034210526;1.034210526;1.039473684;1.034210526;1.034210526;1.034210526
CHE;1.05;0.981578947;0.992105263;1.023684211;1.039473684;1.039473684;1.039473684;1.034210526;1.028947368;1.034210526;1.034210526;1.034210526;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.039473684;1.044736842;1.039473684;1.034210526;1.039473684;1.034210526;1.034210526;1.034210526;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368;1.028947368
ARS;1.028947368;1.028947368;0.997368421;0.971052632;0.997368421;0.992105263;1.018421053;1.028947368;1.023684211;1.028947368;1.028947368;1.023684211;1.023684211;1.034210526;1.034210526;1.028947368;1.028947368;1.018421053;1.028947368;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211;1.023684211
BUR;0.971052632;1.023684211;0.986842105;1.002631579;1.018421053;1.018421053;1.007894737;1.023684211;1.018421053;1.013157895;1.018421053;1.018421053;1.018421053;1.018421053;1.023684211;1.018421053;1.018421053;1.023684211;1.023684211;1.018421053;1.018421053;1.018421053;1.018421053;1.018421053;1.013157895;1.018421053;1.018421053;1.018421053;1.018421053;1.018421053;1.018421053;1.018421053;1.018421053;1.018421053
LEI;0.992105263;0.986842105;1.007894737;0.976315789;0.965789474;0.976315789;0.965789474;0.965789474;0.960526316;0.981578947;0.997368421;0.992105263;0.992105263;0.992105263;1.007894737;1.007894737;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.018421053;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895;1.013157895
EVE;1.018421053;1.018421053;1.013157895;0.992105263;0.971052632;0.960526316;0.981578947;0.971052632;0.971052632;0.960526316;0.960526316;0.976315789;0.971052632;0.971052632;0.986842105;1.002631579;1.002631579;1.002631579;1.007894737;1.007894737;1.007894737;1.007894737;1.007894737;1.007894737;1.007894737;1.007894737;1.002631579;1.007894737;1.007894737;0.997368421;1.007894737;1.007894737;1.007894737;1.007894737
NEW;0.960526316;0.960526316;0.965789474;0.981578947;1.002631579;1.034210526;1.002631579;1.007894737;1.007894737;1.018421053;1.007894737;0.997368421;0.997368421;0.981578947;0.992105263;0.976315789;0.971052632;0.971052632;0.960526316;0.976315789;0.976315789;0.971052632;0.986842105;0.976315789;0.976315789;0.981578947;0.971052632;0.986842105;0.976315789;0.971052632;0.986842105;0.986842105;0.992105263;1.002631579
