Team;Gw1;Gw2;Gw3;Gw4;Gw5;Gw6;Gw7;Gw8;Gw9;Gw10;Gw11;Gw12;Gw13;Gw14;Gw15;Gw16;Gw17;Gw18;Gw19;Gw20;Gw21;Gw22;Gw23;Gw24;Gw25;Gw26;Gw27;Gw28;Gw29;Gw30;Gw31;Gw32;Gw33;Gw34;Gw35;Gw36;Gw37;Gw38
ARS;LIV;lei;wat;SOU;hull;CHE;bur;SWA;MID;sun;TOT;MUN;bou;wha;STO;eve;mci;WBA;CRY;bou;swa;BUR;WAT;che;HULL;sou;liv;LEI;wba;MCI;WHA;cry;mid;SUN;tot;MUN;sto;EVE
BOU;MUN;wha;cry;WBA;mci;EVE;wat;HULL;TOT;mid;SUN;sto;ars;LIV;bur;LEI;SOU;che;swa;ARS;hull;WAT;CRY;eve;MCI;wba;MUN;WHA;SWA;sou;liv;CHE;tot;MID;sun;STO;BUR;lei
BUR;SWA;liv;che;HULL;lei;WAT;ARS;sou;EVE;MUN;CRY;wba;MCI;sto;bou;wha;tot;MID;SUN;mci;SOU;ars;LEI;wat;CHE;hull;swa;LIV;sun;TOT;STO;mid;eve;MUN;cry;WBA;bou;WHA
CHE;WHA;wat;BUR;swa;LIV;ars;hull;LEI;MUN;sou;EVE;mid;TOT;mci;WBA;sun;cry;bou;STO;tot;lei;HULL;liv;ARS;bur;SWA;wha;WAT;sto;CRY;MCI;bou;MUN;SOU;eve;MID;wba;SUN
CRY;WBA;tot;bou;mid;STO;sun;eve;WHA;lei;LIV;bur;MCI;swa;SOU;hull;MUN;CHE;wat;ars;SWA;wha;EVE;bou;SUN;sto;MID;wba;TOT;WAT;che;sou;ARS;LEI;liv;BUR;mci;HULL;MUN
EVE;TOT;wba;STO;sun;MID;bou;CRY;mci;bur;WHA;che;SWA;sou;MUN;wat;ARS;LIV;lei;hull;SOU;MCI;cry;sto;bou;mid;SUN;tot;WBA;HULL;liv;MUN;LEI;BUR;wha;CHE;swa;WAT;ars
Hull;LEI;swa;MUN;bur;ARS;liv;CHE;bou;STO;wat;SOU;sun;WBA;mid;CRY;tot;wha;MCI;EVE;wba;bou;che;MUN;LIV;ars;BUR;lei;SWA;eve;WHA;MID;mci;sto;WAT;sou;SUN;cry;TOT
LEI;hull;ARS;SWA;liv;BUR;MUN;SOU;che;CRY;tot;WBA;wat;MID;sun;MCI;bou;sto;EVE;WHA;mid;CHE;sou;bur;MUN;swa;LIV;HULL;ars;wha;STO;SUN;eve;cry;TOT;wba;WAT;mci;bou
LIV;ars;BUR;tot;LEI;che;HULL;swa;MUN;WBA;cry;WAT;sou;SUN;bou;WHA;mid;eve;STO;MCI;sun;MUN;SWA;CHE;hull;TOT;lei;ARS;bur;mci;EVE;bou;sto;wba;CRY;wat;SOU;wha;MID
MCI;SUN;sto;WHA;MUN;bou;swa;tot;EVE;SOU;wba;MID;cry;bur;CHE;lei;WAT;ARS;hull;liv;BUR;eve;TOT;wha;SWA;bou;MUN;sun;STO;LIV;ars;che;HULL;sou;WBA;mid;CRY;LEI;wat
MUN;bou;SOU;hull;MCI;wat;LEI;STO;liv;che;BUR;swa;ARS;WHA;eve;TOT;cry;wba;SUN;MID;wha;LIV;sto;HULL;lei;WAT;mci;bou;sou;mid;WBA;EVE;sun;CHE;bur;SWA;ars;tot;CRY
Middlesbrough;STO;sun;wba;CRY;eve;TOT;wha;WAT;ars;bou;mci;CHE;lei;HULL;sou;LIV;SWA;bur;MUN;LEI;wat;WHA;WBA;tot;EVE;cry;sto;SUN;MUN;swa;hull;BUR;ARS;bou;MCI;che;SOU;liv
SOU;WAT;MUN;SUN;ars;SWA;wha;lei;BUR;mci;CHE;hull;LIV;EVE;cry;MID;sto;bou;TOT;WBA;eve;bur;LEI;swa;WHA;sun;ARS;wat;MUN;tot;bou;CRY;wba;MCI;che;HULL;liv;mid;STO
STK;mid;MCI;eve;TOT;cry;WBA;MUN;SUN;hull;SWA;wha;bou;wat;BUR;ars;SOU;LEI;liv;che;WAT;sun;MUN;EVE;wba;CRY;tot;MID;mci;CHE;lei;bur;LIV;HULL;swa;WHA;bou;ARS;sou
Sunderland;mci;MID;sou;EVE;tot;CRY;WBA;sto;wha;ARS;bou;HULL;liv;LEI;swa;CHE;WAT;MUN;bur;LIV;STO;wba;TOT;cry;SOU;eve;MCI;mid;BUR;wat;lei;MUN;WHA;ars;bou;hull;SWA;che
SWA;bur;HULL;lei;CHE;sou;MCI;LIV;ars;WAT;sto;MUN;eve;CRY;tot;SUN;wba;mid;WHA;bou;cry;ARS;liv;SOU;mci;LEI;che;BUR;hull;bou;MID;TOT;wha;wat;STO;MUN;EVE;sun;WBA
TOT;eve;CRY;LIV;sto;SUN;mid;MCI;wba;bou;LEI;ars;WHA;che;SWA;MUN;HULL;BUR;sou;wat;CHE;WBA;mci;sun;MID;liv;STO;EVE;cry;SOU;bur;swa;WAT;bou;lei;ARS;wha;MUN;hull
WAT;sou;CHE;ARS;wha;MUN;bur;bou;mid;swa;HULL;liv;LEI;STO;wba;EVE;mci;sun;CRY;TOT;sto;MID;bou;ars;BUR;MUN;WHA;SOU;che;cry;SUN;WBA;tot;SWA;hull;LIV;lei;eve;MCI
