"FirstName_1","Surname_1","PositionsList","Team","index"
"Petr","Cech","GLK","ARS",1
"Matt","Macey","GLK","ARS",2
"Damian Emiliano","Martinez","GLK","ARS",3
"David","Ospina","GLK","ARS",4
"Tim","Krul","GLK","BHA",5
"Niki","Maenpaa","GLK","BHA",6
"Mathew","Ryan","GLK","BHA",7
"Asmir","Begovic","GLK","BOU",8
"Artur","Boruc","GLK","BOU",9
"Adam","Federici","GLK","BOU",10
"Aaron","Ramsdale","GLK","BOU",11
"Tom","Heaton","GLK","BUR",12
"Adam","Legzdins","GLK","BUR",13
"Anders","Lindegaard","GLK","BUR",14
"Nick","Pope","GLK","BUR",15
"Paul","Robinson","GLK","BUR",16
"Willy","Caballero","GLK","CHE",17
"Thibaut","Courtois","GLK","CHE",18
"","Eduardo","GLK","CHE",19
"Wayne","Hennessey","GLK","CRY",20
"Dion","Henry","GLK","CRY",21
"Julian","Speroni","GLK","CRY",22
"Jordan","Pickford","GLK","EVE",23
"Joel","Robles","GLK","EVE",24
"Maarten","Stekelenburg","GLK","EVE",25
"Joel","Coleman","GLK","HUD",26
"Robert","Green","GLK","HUD",27
"Jonas","Lossl","GLK","HUD",28
"Ben","Hamer","GLK","LEI",29
"Eldin","Jakupovic","GLK","LEI",30
"Kasper","Schmeichel","GLK","LEI",31
"Loris","Karius","GLK","LIV",32
"Simon","Mignolet","GLK","LIV",33
"Danny","Ward","GLK","LIV",34
"Claudio","Bravo","GLK","MCI",35
"","Ederson","GLK","MCI",36
"de","Gea","GLK","MUN",37
"Joel","Pereira","GLK","MUN",38
"Sergio","Romero","GLK","MUN",39
"Karl","Darlow","GLK","NEW",40
"Martin","Dubravka","GLK","NEW",41
"Robert","Elliot","GLK","NEW",42
"Freddie","Woodman","GLK","NEW",43
"Fraser","Forster","GLK","SOU",44
"Alex","McCarthy","GLK","SOU",45
"Stuart","Taylor","GLK","SOU",46
"Jack","Butland","GLK","STK",47
"Lee","Grant","GLK","STK",48
"Jakob","Haugaard","GLK","STK",49
"Lukasz","Fabianski","GLK","SWA",50
"Erwin","Mulder","GLK","SWA",51
"Kristoffer","Nordfeldt","GLK","SWA",52
"Paulo","Gazzaniga","GLK","TOT",53
"Hugo","Lloris","GLK","TOT",54
"Michel","Vorm","GLK","TOT",55
"Alfie","Whiteman","GLK","TOT",56
"Daniel","Bachmann","GLK","WAT",57
"Heurelho","Gomes","GLK","WAT",58
"Orestis","Karnezis","GLK","WAT",59
"Costel","Pantilimon","GLK","WAT",60
"Ben","Foster","GLK","WBA",61
"Boaz","Myhill","GLK","WBA",62
"Alex","Palmer","GLK","WBA",63
"","Adrian","GLK","WHU",64
"Joe","Hart","GLK","WHU",65
"Darren","Randolph","GLK","WHU",66
"Nathan","Trott","GLK","WHU",67
"Hector","Bellerin","DEF","ARS",68
"Calum","Chambers","DEF","ARS",69
"Mathieu","Debuchy","DEF","ARS",70
"","Gabriel","DEF","ARS",71
"Rob","Holding","DEF","ARS",72
"Carl","Jenkinson","DEF","ARS",73
"Sead","Kolasinac","DEF","ARS",74
"Laurent","Koscielny","DEF","ARS",75
"Konstantinos","Mavropanos","DEF","ARS",76
"Per","Mertesacker","DEF","ARS",77
"Nacho","Monreal","DEF","ARS",78
"Shkodran","Mustafi","DEF","ARS",79
"Gaetan","Bong","DEF","BHA",80
"","Bruno","DEF","BHA",81
"Shane","Duffy","DEF","BHA",82
"Lewis","Dunk","DEF","BHA",83
"Connor","Goldson","DEF","BHA",84
"Uwe","Hunemeier","DEF","BHA",85
"Liam","Rosenior","DEF","BHA",86
"Ezequiel","Schelotto","DEF","BHA",87
"Markus","Suttner","DEF","BHA",88
"Adam","Smith","DEF","BOU",89
"Nathan","Ake","DEF","BOU",90
"Brad","Smith","DEF","BOU",91
"Charlie","Daniels","DEF","BOU",92
"Simon","Francis","DEF","BOU",93
"Tyrone","Mings","DEF","BOU",94
"Jack","Simpson","DEF","BOU",95
"Steve","Cook","DEF","BOU",96
"Phil","Bardsley","DEF","BUR",97
"Kevin","Long","DEF","BUR",98
"Matthew","Lowton","DEF","BUR",99
"Ben","Mee","DEF","BUR",100
"James","Tarkowski","DEF","BUR",101
"Charlie","Taylor","DEF","BUR",102
"Stephen","Ward","DEF","BUR",103
"Marcos","Alonso","DEF","CHE",104
"Cesar","Azpilicueta","DEF","CHE",105
"Gary","Cahill","DEF","CHE",106
"Andreas","Christensen","DEF","CHE",107
"David","Luiz","DEF","CHE",108
"","Emerson","DEF","CHE",109
"Victor","Moses","DEF","CHE",110
"Antonio","Rudiger","DEF","CHE",111
"Dujon","Sterling","DEF","CHE",112
"Fikayo","Tomori","DEF","CHE",113
"Davide","Zappacosta","DEF","CHE",114
"Scott","Dann","DEF","CRY",115
"Damien","Delaney","DEF","CRY",116
"Timothy","Fosu-Mensah","DEF","CRY",117
"Jaroslaw","Jach","DEF","CRY",118
"Martin","Kelly","DEF","CRY",119
"Jairo","Riedewald","DEF","CRY",120
"Mamadou","Sakho","DEF","CRY",121
"Jeffrey","Schlupp","DEF","CRY",122
"Pape","Souare","DEF","CRY",123
"James","Tomkins","DEF","CRY",124
"van","Aanholt","DEF","CRY",125
"Joel","Ward","DEF","CRY",126
"Leighton","Baines","DEF","EVE",127
"Seamus","Coleman","DEF","EVE",128
"Funes","Mori","DEF","EVE",129
"Mason","Holgate","DEF","EVE",130
"Phil","Jagielka","DEF","EVE",131
"Michael","Keane","DEF","EVE",132
"Jonjoe","Kenny","DEF","EVE",133
"Eliaquim","Mangala","DEF","EVE",134
"Cuco","Martina","DEF","EVE",135
"Matthew","Pennington","DEF","EVE",136
"Ashley","Williams","DEF","EVE",137
"Martin","Cranie","DEF","HUD",138
"Florent","Hadergjonaj","DEF","HUD",139
"Michael","Hefele","DEF","HUD",140
"Mark","Hudson","DEF","HUD",141
"Terence","Kongolo","DEF","HUD",142
"Chris","Lowe","DEF","HUD",143
"Scott","Malone","DEF","HUD",144
"Christopher","Schindler","DEF","HUD",145
"Tommy","Smith","DEF","HUD",146
"Jon Gorenc","Stankovic","DEF","HUD",147
"","Zanka","DEF","HUD",148
"Yohan","Benalouane","DEF","LEI",149
"Benjamin","Chilwell","DEF","LEI",150
"Aleksandar","Dragovic","DEF","LEI",151
"Christian","Fuchs","DEF","LEI",152
"Robert","Huth","DEF","LEI",153
"Harry","Maguire","DEF","LEI",154
"Wes","Morgan","DEF","LEI",155
"Danny","Simpson","DEF","LEI",156
"Trent","Alexander-Arnold","DEF","LIV",157
"Nathaniel","Clyne","DEF","LIV",158
"Jon","Flanagan","DEF","LIV",159
"Joseph","Gomez","DEF","LIV",160
"Ragnar","Klavan","DEF","LIV",161
"Dejan","Lovren","DEF","LIV",162
"Joel","Matip","DEF","LIV",163
"James","Milner","DEF","LIV",164
"Alberto","Moreno","DEF","LIV",165
"Andrew","Robertson","DEF","LIV",166
"van","Dijk","DEF","LIV",167
"Oluwatosin","Adarabioyo","DEF","MCI",168
"","Danilo","DEF","MCI",169
"Aleksandar","Kolarov","DEF","MCI",170
"Vincent","Kompany","DEF","MCI",171
"Aymeric","Laporte","DEF","MCI",172
"Benjamin","Mendy","DEF","MCI",173
"Nicolas","Otamendi","DEF","MCI",174
"John","Stones","DEF","MCI",175
"Kyle","Walker","DEF","MCI",176
"Eric","Bailly","DEF","MUN",177
"Daley","Blind","DEF","MUN",178
"Matteo","Darmian","DEF","MUN",179
"Phil","Jones","DEF","MUN",180
"Victor","Lindelof","DEF","MUN",181
"Marcos","Rojo","DEF","MUN",182
"Luke","Shaw","DEF","MUN",183
"Chris","Smalling","DEF","MUN",184
"Axel","Tuanzebe","DEF","MUN",185
"Antonio","Valencia","DEF","MUN",186
"Ciaran","Clark","DEF","NEW",187
"Paul","Dummett","DEF","NEW",188
"","Gamez","DEF","NEW",189
"Massadio","Haidara","DEF","NEW",190
"Grant","Hanley","DEF","NEW",191
"Jamaal","Lascelles","DEF","NEW",192
"Florian","Lejeune","DEF","NEW",193
"Javier","Manquillo","DEF","NEW",194
"Chancel","Mbemba","DEF","NEW",195
"DeAndre","Yedlin","DEF","NEW",196
"Jan","Bednarek","DEF","SOU",197
"Ryan","Bertrand","DEF","SOU",198
"","Cedric","DEF","SOU",199
"Wesley","Hoedt","DEF","SOU",200
"Sam","McQueen","DEF","SOU",201
"Jeremy","Pied","DEF","SOU",202
"Jack","Stephens","DEF","SOU",203
"Matt","Targett","DEF","SOU",204
"Maya","Yoshida","DEF","SOU",205
"Moritz","Bauer","DEF","STK",206
"Geoff","Cameron","DEF","STK",207
"Thomas","Edwards","DEF","STK",208
"Glen","Johnson","DEF","STK",209
"Martins","Indi","DEF","STK",210
"Marc","Muniesa","DEF","STK",211
