"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
1,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
4,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
9,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
10,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK"
12,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
16,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
17,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
18,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK"
20,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
