FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,2,0.133333333333333,3.10077519379845E-08,4.65116279069767E-07,0,12470,0,1,0,0,0,0,0,0.5,1127,-2,1,2,2,0.1,0,0.5,0,0,0,0,0,0.2,6742,0,0,0,0,50,2050,-1,0,11,Leicester,Everton,Arsenal,West Ham,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.2
Tammy,Abraham,FWD,SWA,5900000,2,53,3.8,6.44067796610169E-07,8.98305084745763E-06,0,812375,0,15,0,0,0,4,0,9,55711,4,0,53,-4,0.2,0,1.3,8,0,4,0,1,11.1,1226789,0,0,0,1,1072,27607,0,0,169,West Brom,Man City,Everton,Crystal Palace,Liverpool,4.7,3.6,3.9,4.9,3.4,4.5,3.8,4.1,4.2,4.2,3.8,3.8,4.1,4.9,3.6,3.9,2.9,4.1,5,3.9,2.9,4.1,5,64.5
Charlie,Adam,MID,STK,4700000,0,2,0.133333333333333,2.83687943262411E-08,4.25531914893617E-07,0,5883,0,0,0,0,0,0,0,0.4,170,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.1,2136,0,0,0,0,7,81,0,0,2,Tottenham,Burnley,West Ham,West Brom,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
,Adam Smith,DEF,BOU,4800000,1,25,1.8,3.75E-07,5.20833333333333E-06,0,35865,4,14,0,0,0,0,0,5.2,2564,-2,0,25,2,0.4,0,2,0,0,2,0,0,0.4,3988,0,0,0,0,1046,72,0,0,176,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,0,0.9,1.5,0.9,1.9,1.3,1.4,1.6,1.3,1.3,1.4,1.2,1.4,0.9,1.5,1.7,1.7,2.6,1,1.5,1.3,1.2,1.2,36.8
,Adrian,GLK,WHU,4300000,2,2,0.133333333333333,3.10077519379845E-08,4.65116279069767E-07,0,13596,1,2,0,6,0,0,0,0.5,341,-2,0,2,2,0.1,0,0.5,0,0,0,0,0,0.4,3015,0,0,0,0,90,1095,0,0,16,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,0.1,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.5
Ibrahim,Afellay,MID,STK,4900000,1,3,0.2,4.08163265306122E-08,6.12244897959184E-07,0,1277,1,6,0,0,0,0,0,0.6,39,-1,0,3,1,0.1,0,0.3,0,0,0,0,0,0,878,0,0,0,0,82,27,0,0,9,Tottenham,Burnley,West Ham,West Brom,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Benik,Afobe,FWD,BOU,5700000,1,16,1.06666666666667,1.87134502923977E-07,2.80701754385965E-06,0,29584,0,5,0,0,0,0,0,2.8,403,-3,0,16,3,0.1,0,0.5,0,0,0,0,1,0.2,5434,0,0,0,0,352,183,0,0,50,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,0.5,0.5,0.6,0.5,0.8,0.8,0.5,0.6,0.5,0.5,0.8,0.5,0.7,0.5,0.5,0.7,0.6,0.8,0.5,0.6,0.5,0.5,0.5,16.1
Sergio,Aguero,FWD,MCI,11600000,2,79,7.2,6.20689655172414E-07,6.81034482758621E-06,0,2151435,0,4,0,0,0,9,0,6.8,148931,1,1,79,-1,0.3,0,3,13,0,6,0,3,17.4,2403954,0,0,0,1,861,22913,-1,0,319,Man Utd,Swansea,Tottenham,Bournemouth,Newcastle,7.8,9.8,9.2,9.6,9.3,9.1,8.6,8.7,9.9,10,9.3,10,7.4,7.7,9.6,9.7,8.8,10.1,8.9,9.3,9,10.8,9.8,125.6
Nathan,Ake,DEF,BOU,4900000,2,45,3,6.12244897959184E-07,9.18367346938776E-06,0,262583,1,17,0,0,0,0,0,9.2,6387,-1,0,45,1,0.8,0,3.8,5,0,4,0,0,4.2,88498,0,0,0,0,1342,7413,0,0,269,Crystal Palace,Man Utd,Liverpool,Man City,West Ham,3.7,1.9,3.2,2.2,4,2.8,3.1,3.4,3,2.9,3.1,2.8,3.1,2.2,3.2,3.5,3.6,4.4,2.4,3.2,2.9,2.7,2.8,43.9
Marc,Albrighton,MID,LEI,5500000,3,44,2.9,5.27272727272727E-07,8E-06,0,150435,2,15,0,0,0,1,0,8,4967,0,0,44,0,1.1,0,5.8,6,0,3,0,2,1.7,144892,0,0,0,1,1031,11065,0,0,176,Newcastle,Southampton,Crystal Palace,Man Utd,Watford,2.3,2.2,3.1,2.6,2.3,1.4,3.6,2.1,2,2.3,3.3,1.4,2.6,3.1,2.1,3.2,1.9,3.2,2.1,2.6,2.1,3.4,1.8,54.9
Toby,Alderweireld,DEF,TOT,5900000,0,38,3.8,6.44067796610169E-07,6.44067796610169E-06,0,589423,3,7,0,0,0,0,0,6.4,15264,-1,0,38,1,0,0,0,3,0,5,0,0,5.9,160281,0,0,0,0,900,94,0,0,200,Stoke,Brighton,Man City,Burnley,Southampton,0,0,0,0,4.3,0,9.1,4.1,4,4.6,3.3,4.8,4.5,5.6,3.5,4.5,4,3.8,3.3,4.3,4.3,4,4.1,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,2,10,0.666666666666667,1.58730158730159E-07,2.38095238095238E-06,0,159149,2,9,0,0,0,0,0,2.4,3130,-3,0,10,3,0.5,0,2.3,1,0,1,0,0,1.1,88249,0,0,0,0,450,4360,0,0,84,Everton,West Brom,Bournemouth,Arsenal,Swansea,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.4,29.7
Joe,Allen,MID,STK,5200000,8,36,2.6,5E-07,6.92307692307692E-06,0,159413,4,23,0,0,0,0,0,6.9,1953,-3,0,36,3,0.7,0,3.5,4,0,2,0,2,1.3,19686,0,0,0,0,1253,1714,0,0,201,Tottenham,Burnley,West Ham,West Brom,Huddersfield,1.6,1.9,2.8,2.4,1.8,1.9,2.6,1.3,3,1.6,2.2,2,1.8,2,1.3,3.1,1.4,2,2,2.1,1.3,2.5,2.6,55.8
Bamidele,Alli,MID,TOT,9100000,2,61,4.4,4.83516483516484E-07,6.7032967032967E-06,0,1619880,1,13,0,0,0,3,0,6.7,52088,-4,1,61,4,0.3,0,3,5,0,5,0,3,13.6,581998,0,0,0,1,1230,9987,-1,0,189,Stoke,Brighton,Man City,Burnley,Southampton,4.8,4.7,3.1,4.2,4.8,0,11.3,6.4,4.4,4.8,3,5.6,4.2,6.2,4.7,5.6,4.2,4.1,3.3,3.8,3.9,4.2,5.2,107.5
