FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,19545,0,2,0,0,0,0,0,1.2,100,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11791,0,0,0,0,136,6,0,0,19,Liverpool,Southampton,Huddersfield,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,4,69,3.1,5.74074074074074E-07,1.27777777777778E-05,0,1311823,0,28,0,0,0,4,0,12.8,3783,-1,0,69,1,0.3,0,1.7,8,0,4,0,3,3.4,1306221,0,0,0,1,1430,2255,0,0,197,West Ham,Huddersfield,Man Utd,West Brom,Everton,3.6,2.7,0,2.1,2.7,3.7,2.5,2.5,3,3.9,88.8
Charlie,Adam,MID,STK,4700000,0,12,0.428571428571429,9.11854103343465E-08,2.5531914893617E-06,0,7439,2,7,0,0,0,0,0,2.6,74,-3,0,12,3,-0.1,1,-0.3,0,0,2,0,0,0.1,3363,0,0,0,0,376,51,0,0,62,Southampton,Man City,Everton,Arsenal,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,7,51,1.82142857142857,3.79464285714286E-07,1.0625E-05,0,44688,5,32,0,0,0,1,0,10.6,252,-2,0,51,2,0.6,0,2.7,3,0,2,0,2,0.4,10067,0,0,0,0,1831,1423,0,0,342,Leicester,Tottenham,West Brom,Watford,Crystal Palace,1,1.5,1.6,1.4,2.3,1.2,1.5,1.4,1.4,1.3,83.3
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,1618,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,2974,0,0,0,0,0,223,0,0,0,Chelsea,Stoke,Everton,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,2,47,3.4,7.72727272727273E-07,1.06818181818182E-05,0,88825,2,20,0,47,0,0,0,10.7,3197,-1,0,47,1,0.7,0,3.3,1,0,4,0,0,3.5,252637,0,0,0,0,1260,3579,0,0,261,Swansea,Burnley,Southampton,Chelsea,Stoke,2.7,4.2,0,4,3,4.4,2.9,3.4,2.5,3.7,31.8
Ibrahim,Afellay,MID,STK,4800000,0,6,0.214285714285714,4.46428571428571E-08,1.25E-06,0,1761,1,9,0,0,0,0,0,1.3,24,-2,0,6,2,0,0,0,0,0,0,0,0,0,1289,0,0,0,0,162,23,0,0,29,Southampton,Man City,Everton,Arsenal,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33604,0,12,0,0,0,0,0,4.2,85,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7412,0,0,0,0,534,1,0,0,73,Leicester,Tottenham,West Brom,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,12000000,5,167,7.3,6.08333333333333E-07,1.39166666666667E-05,0,3145181,1,12,0,0,0,21,0,13.9,77104,5,0,167,-5,0.8,0,9.3,22,0,12,0,6,28.4,4023710,0,0,0,4,1862,32543,0,0,728,Chelsea,Stoke,Everton,Man Utd,Tottenham,8.7,9.2,0,8.9,10.4,8.5,10.2,8.9,10.8,9.7,289.9
Nathan,Ake,DEF,BOU,5000000,4,83,3,6E-07,1.66E-05,0,390385,4,41,0,0,0,2,0,16.6,13132,0,0,83,0,0.4,0,2,8,0,5,0,2,6.4,338715,0,0,0,1,2452,19449,0,0,489,Leicester,Tottenham,West Brom,Watford,Crystal Palace,2.3,3.1,3.3,3,4.3,2.7,3.3,3,3,2.9,96.8
