FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,19699,0,2,0,0,0,0,0,1.2,1,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11796,0,0,0,0,136,0,0,0,19,Huddersfield,Leicester,Arsenal,Everton,West Brom,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,0,70,3,5.55555555555556E-07,1.2962962962963E-05,0,1318147,0,28,0,0,0,4,0,13,12,-1,0,70,1,0.3,0,1.5,8,0,4,0,3,3.6,1307545,0,0,0,1,1431,6,0,0,199,Man Utd,West Brom,Everton,Man City,Chelsea,0,2,2.6,3.6,2.3,2.5,2.9,3.7,88.9
Charlie,Adam,MID,STK,4700000,0,12,0.4,8.51063829787234E-08,2.5531914893617E-06,0,7524,2,7,0,0,0,0,0,2.6,0,-3,0,12,3,-0.1,1,-0.3,0,0,2,0,0,0.1,3424,0,0,0,0,376,0,0,0,62,Everton,Arsenal,Tottenham,West Ham,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,0,53,1.76666666666667,3.68055555555556E-07,1.10416666666667E-05,0,45024,5,33,0,0,0,1,0,11,2,-2,0,53,2,0.5,0,2.5,3,0,2,0,2,0.4,11115,0,0,0,0,1921,10,0,0,353,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,1.6,1.3,2.2,1.1,1.4,1.4,1.3,1.2,87.8
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173,0,0,0,0,0,1,0,0,0,Everton,Man Utd,Tottenham,Swansea,West Ham,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,0,48,3.2,7.27272727272727E-07,1.09090909090909E-05,0,98123,2,24,0,50,0,0,0,10.9,44,-1,0,48,1,0.6,0,2.5,1,0,4,0,0,3,255616,0,0,0,0,1350,4,0,0,276,Southampton,Chelsea,Stoke,Arsenal,Man City,0,3.8,2.8,4.1,2.6,3.2,2.3,3.4,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.2,4.16666666666667E-08,1.25E-06,0,1793,1,9,0,0,0,0,0,1.3,0,-2,0,6,2,0,0,0,0,0,0,0,0,0,1308,0,0,0,0,162,0,0,0,29,Everton,Arsenal,Tottenham,West Ham,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33676,0,12,0,0,0,0,0,4.2,1,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7415,0,0,0,0,534,0,0,0,73,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11900000,0,169,7,5.88235294117647E-07,1.42016806722689E-05,0,3178418,1,12,0,0,0,21,0,14.2,121,4,0,169,-4,0.6,0,7,22,0,13,0,6,27,4081161,0,0,0,4,1946,95,0,0,739,Everton,Man Utd,Tottenham,Swansea,West Ham,0,8.4,9.9,7.9,9.9,8.5,10.5,9.2,298.8
Nathan,Ake,DEF,BOU,5000000,0,85,2.9,5.8E-07,1.7E-05,0,404127,4,42,0,0,0,2,0,17,16,0,0,85,0,0.3,0,1.5,8,0,5,0,2,6.5,352454,0,0,0,1,2542,128,0,0,503,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,3.3,2.9,4.1,2.6,3.1,3,2.9,2.7,99.4
Marc,Albrighton,MID,LEI,5600000,0,97,3.3,5.89285714285714E-07,1.73214285714286E-05,0,336725,5,35,0,0,0,2,0,17.3,26,1,0,97,-1,0.4,0,2.3,12,0,6,0,7,3.4,419148,0,0,0,2,2197,13,0,0,405,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0,2.3,3.7,2.6,3.2,2.5,3.8,2,142.9
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.26666666666667,2.18390804597701E-07,6.55172413793103E-06,0,655070,3,7,0,0,0,0,0,6.6,5,-2,0,38,2,0,0,0,3,0,5,0,0,5,165976,0,0,0,0,900,0,0,0,200,Chelsea,Stoke,Man City,Brighton,Watford,0,0,0,0.7,0.6,1,0.6,0.8,27.7
Trent,Alexander-Arnold,DEF,LIV,4300000,1,54,1.8,4.18604651162791E-07,1.25581395348837E-05,0,288959,3,13,0,0,0,1,0,12.6,8,-2,0,54,2,1,0,4.5,7,0,5,0,1,3.9,376798,0,0,0,3,1070,132,0,0,273,Watford,Crystal Palace,Everton,Bournemouth,West Brom,1.7,1.9,0.9,1.3,1,1.8,1.2,1.8,64.5
Joe,Allen,MID,STK,5100000,0,88,3.3,6.47058823529412E-07,1.72549019607843E-05,0,229250,6,42,0,0,0,2,0,17.3,6,-4,0,88,4,0.5,0,2.3,10,0,5,0,5,1.9,117533,0,0,0,2,2412,6,0,0,415,Everton,Arsenal,Tottenham,West Ham,Burnley,4.3,2.3,3,2.6,3.4,1.9,3.4,2.7,125
Bamidele,Alli,MID,TOT,8900000,0,127,4.5,5.0561797752809E-07,1.42696629213483E-05,0,2117982,6,22,0,0,0,5,0,14.3,40,-6,0,127,6,0.3,0,2.8,7,0,13,0,11,12.2,1021051,0,0,0,2,2357,15,0,0,396,Chelsea,Stoke,Man City,Brighton,Watford,0,3.7,4.1,3.8,3.7,5.2,4.3,5.6,208.1
Marcos,Alonso,DEF,CHE,7200000,0,141,5.2,7.22222222222222E-07,1.95833333333333E-05,0,1469839,5,22,0,0,0,6,0,19.6,49,2,0,141,-2,0.1,0,0.8,13,0,12,0,1,19.6,1576752,0,0,0,4,2323,39,0,0,547,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,7.1,7.7,6.6,7.5,5.5,7.2,5.4,169.1
Daniel,Amartey,MID,LEI,4300000,0,13,0.433333333333333,1.0077519379845E-07,3.02325581395349E-06,0,25355,0,7,0,0,0,0,0,3,4,-2,0,13,2,0.1,0,0.3,0,0,3,0,0,0.3,23698,0,0,0,0,486,0,0,1,53,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0,0,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0333333333333333,7.40740740740741E-09,2.22222222222222E-07,0,654,0,1,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,10,0,0,0,6,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,0,0,0,0,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7641,0,3,0,0,0,0,0,1.2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,3626,0,0,0,0,198,0,0,0,11,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0,0,0,0,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,51237,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59642,0,0,0,0,0,0,0,0,0,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0,0,0,0,0,0,0,0,0
,Andre Ayew,MID,SWA,6800000,0,57,1.9,2.79411764705882E-07,8.38235294117647E-06,0,100951,3,28,0,0,0,3,0,8.4,0,-2,0,57,2,0.4,1,2.5,2,0,2,0,4,1,54083,0,0,0,0,1048,6,0,0,188,Man Utd,West Brom,Everton,Man City,Chelsea,0,1,1.1,2,1,1.3,1.2,1.5,61.2
