FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,20050,0,2,0,0,0,0,0,1.2,31,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,11802,0,0,0,0,136,1,0,0,19,Arsenal,Everton,West Brom,Watford,Tottenham,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,9,81,3.1,5.74074074074074E-07,1.5E-05,0,1331179,0,29,0,0,0,5,0,15,929,-1,0,81,1,0.9,0,5,11,0,4,0,3,3.5,1320014,0,0,0,1,1583,2067,0,0,231,Everton,Man City,Chelsea,Bournemouth,Southampton,3.7,2.5,2.6,6.6,3.8,104.5
Charlie,Adam,MID,STK,4700000,0,10,0.303030303030303,6.44745325596389E-08,2.12765957446809E-06,0,7910,2,9,0,0,0,0,0,2.1,21,-3,0,10,3,-0.1,1,-0.5,0,0,2,0,0,0.1,3518,0,0,0,0,405,4,0,1,57,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,0,56,2.1,4.375E-07,1.16666666666667E-05,0,64461,6,38,0,0,0,1,0,11.7,1004,-2,0,56,2,0,0,0,3,0,2,0,3,0.5,36511,0,0,0,0,2067,5,0,0,376,Liverpool,Man Utd,Southampton,Swansea,Burnley,0,0,0,0,0,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,0,0,0,0,0,46,0,0,0,Tottenham,Swansea,West Ham,Huddersfield,Brighton,0,0,0,0,0,0
,Adrian,GLK,WHU,4200000,0,48,1.5,3.57142857142857E-07,1.14285714285714E-05,0,148880,2,24,0,50,0,0,0,11.4,3990,-3,0,48,3,0,0,0,1,0,4,0,0,2.1,258351,0,0,0,0,1350,120,0,0,276,Stoke,Arsenal,Man City,Leicester,Man Utd,1.3,0.8,0.9,2,1,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.181818181818182,3.78787878787879E-08,1.25E-06,0,1852,1,9,0,0,0,0,0,1.3,6,-2,0,6,2,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,162,10,0,0,29,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33837,0,12,0,0,0,0,0,4.2,10,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7422,0,0,0,0,534,0,0,0,73,Liverpool,Man Utd,Southampton,Swansea,Burnley,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11600000,0,169,6.8,5.86206896551724E-07,1.45689655172414E-05,0,3995275,2,12,0,0,0,21,0,14.6,15065,1,0,169,-1,0,0,0,22,0,13,0,6,13.9,4131330,0,0,0,4,1960,7627,0,0,740,Tottenham,Swansea,West Ham,Huddersfield,Brighton,7.9,9.4,8.4,19.7,9,302.5
Nathan,Ake,DEF,BOU,5100000,1,92,2.8,5.49019607843137E-07,1.80392156862745E-05,0,465133,4,51,0,0,0,2,0,18,7070,1,0,92,-1,0.5,0,2.3,8,0,5,0,3,7.2,457200,0,0,0,1,2902,2268,0,0,569,Liverpool,Man Utd,Southampton,Swansea,Burnley,5.3,0,2.7,2.8,2.4,111.5
