FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,20147,0,2,0,0,0,0,0,1.2,56,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,11802,0,0,0,0,136,0,0,0,19,Everton,West Brom,Watford,Tottenham,Chelsea,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,82,3,5.55555555555556E-07,1.51851851851852E-05,0,1337316,0,29,0,0,0,5,0,15.2,3507,-1,0,82,1,0.7,0,3.7,11,0,4,0,3,3.5,1325466,0,0,0,1,1608,1073,0,0,233,Man City,Chelsea,Bournemouth,Southampton,Stoke,2.4,2.5,6.2,3.6,106
Charlie,Adam,MID,STK,4700000,0,10,0.294117647058824,6.25782227784731E-08,2.12765957446809E-06,0,7966,2,9,0,0,0,0,0,2.1,22,-3,0,10,3,0,1,0,0,0,2,0,0,0.1,3547,0,0,0,0,405,18,0,1,57,Burnley,Liverpool,Crystal Palace,Swansea,,0.1,0.1,0.1,0.1,27.1
,Adam Smith,DEF,BOU,4800000,0,56,2.1,4.375E-07,1.16666666666667E-05,0,69007,6,38,0,0,0,1,0,11.7,1547,-2,0,56,2,0,0,0,3,0,2,0,3,0.5,36544,0,0,0,0,2067,26,0,0,376,Southampton,Swansea,Burnley,,,0,0,0,0,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,2394,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,3863,0,0,0,0,0,102,0,0,0,Swansea,West Ham,Huddersfield,Brighton,Southampton,0,0,0,0,0
,Adrian,GLK,WHU,4100000,0,48,1.45454545454545,3.54767184035477E-07,1.17073170731707E-05,0,164658,2,24,0,50,0,0,0,11.7,6215,-4,0,48,4,0,0,0,1,0,4,0,0,1.9,259449,0,0,0,0,1350,621,0,0,276,Arsenal,Man City,Leicester,Man Utd,Everton,0.7,0.9,1.8,0.9,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.176470588235294,3.67647058823529E-08,1.25E-06,0,1867,1,9,0,0,0,0,0,1.3,10,-2,0,6,2,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,162,19,0,0,29,Burnley,Liverpool,Crystal Palace,Swansea,,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33886,0,12,0,0,0,0,0,4.2,30,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7424,0,0,0,0,534,1,0,0,73,Southampton,Swansea,Burnley,,,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11600000,0,169,6.8,5.86206896551724E-07,1.45689655172414E-05,0,4129539,2,12,0,0,0,21,0,14.6,68608,1,0,169,-1,0,0,0,22,0,13,0,6,11.7,4136350,0,0,0,4,1960,1639,0,0,740,Swansea,West Ham,Huddersfield,Brighton,Southampton,0,0,0,0,302.5
Nathan,Ake,DEF,BOU,5100000,1,93,2.7,5.29411764705882E-07,1.82352941176471E-05,0,512528,5,56,0,0,0,2,0,18.2,29198,1,0,93,-1,0.3,0,1.5,8,0,5,0,3,6.4,464281,0,0,0,1,3082,2108,0,0,596,Southampton,Swansea,Burnley,,,0,2.6,2.7,2.2,118.6
Marc,Albrighton,MID,LEI,5600000,3,109,3.3,5.89285714285714E-07,1.94642857142857E-05,0,409170,5,37,0,0,0,2,0,19.5,27156,1,0,109,-1,0.4,0,2,12,0,8,0,8,3,475186,0,0,0,2,2478,741,0,0,452,Crystal Palace,West Ham,Arsenal,Tottenham,,0,2.5,7.3,2.1,158.1
Toby,Alderweireld,DEF,TOT,5800000,2,40,1.17647058823529,2.02839756592292E-07,6.89655172413793E-06,0,658454,3,8,0,0,0,0,0,6.9,411,-2,0,40,2,0.1,0,0.5,3,0,5,0,0,5,167426,0,0,0,0,990,381,0,0,218,Watford,West Brom,Newcastle,Leicester,,0,0.9,1.2,0.6,30.7
Trent,Alexander-Arnold,DEF,LIV,4400000,12,69,2.02941176470588,4.61229946524064E-07,1.56818181818182E-05,0,336041,3,16,0,0,0,1,0,15.7,3828,-1,-1,69,1,1.1,0,5,10,0,6,0,2,5.1,484138,0,0,0,3,1329,60007,1,0,335,West Brom,Stoke,Chelsea,Brighton,,1.1,2.1,1.4,2.2,79.3
Joe,Allen,MID,STK,5100000,2,101,3.2,6.27450980392157E-07,1.98039215686275E-05,0,251853,8,52,0,0,0,2,0,19.8,1860,-4,0,101,4,0.3,0,1.7,12,0,5,0,6,1.8,130887,0,0,0,2,2862,1627,0,0,487,Burnley,Liverpool,Crystal Palace,Swansea,,3,1.8,2.9,2.6,146.3
Bamidele,Alli,MID,TOT,9000000,2,161,5,5.55555555555556E-07,1.78888888888889E-05,0,2259890,6,28,0,0,0,8,0,17.9,77286,-5,0,161,5,0.6,0,5.8,12,0,13,0,13,12.8,1222167,0,0,0,3,2704,3154,0,0,520,Watford,West Brom,Newcastle,Leicester,,0,6.2,11.8,6,246.4
Marcos,Alonso,DEF,CHE,7200000,4,150,4.8,6.66666666666667E-07,2.08333333333333E-05,0,1702949,5,29,0,0,0,6,0,20.8,135067,2,0,150,-2,0.3,0,1.8,13,0,12,0,2,17.1,1685075,0,0,0,4,2675,3686,0,0,600,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,13.1,4.6,189.6
Daniel,Amartey,MID,LEI,4300000,0,13,1.6,3.72093023255814E-07,3.02325581395349E-06,0,28049,0,7,0,0,0,0,0,3,219,-2,0,13,2,0,0,0,0,0,3,0,0,0.2,23756,0,0,0,0,486,14,0,1,53,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,722,0,1,0,0,0,0,0,0.2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,10,2,0,0,6,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7654,0,3,0,0,0,0,0,1.2,1,0,0,6,0,0,0,0,0,0,1,0,0,0,3629,0,0,0,0,198,0,0,0,11,Crystal Palace,Tottenham,Newcastle,Man Utd,,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,52259,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59805,0,0,0,0,0,9,0,0,0,Watford,Leicester,Stoke,West Brom,,0,0,0,0,0
,Andre Ayew,MID,SWA,6800000,2,65,1.96969696969697,2.89661319073084E-07,9.55882352941176E-06,0,105637,4,32,0,0,0,3,0,9.6,476,-2,0,65,2,0.3,1,2,2,0,3,0,4,1,56339,0,0,0,0,1384,495,0,0,202,Man City,Chelsea,Bournemouth,Southampton,Stoke,1,1.4,2.8,1.5,73.2
Michail,Antonio,MID,WHU,7400000,0,62,3,4.05405405405405E-07,8.37837837837838E-06,0,90078,1,23,0,0,0,3,0,8.4,236,-1,0,62,1,0,0,0.3,1,0,7,0,2,0.2,85836,0,0,0,0,1350,25,0,0,188,Arsenal,Man City,Leicester,Man Utd,Everton,0,0,0,0,94.6
Scott,Arfield,MID,BUR,4900000,0,56,3.1,6.3265306122449E-07,1.14285714285714E-05,0,44414,3,15,0,0,0,2,0,11.4,174,-1,0,56,1,0,0,0,6,0,6,0,2,0.2,48025,0,0,0,2,1330,10,0,0,185,Stoke,Brighton,Arsenal,Bournemouth,,0,0,0,0,60.1
Marko,Arnautovic,MID,WHU,7000000,2,116,4.5,6.42857142857143E-07,1.65714285714286E-05,0,1049867,3,41,0,0,0,9,0,16.6,14446,0,0,116,0,1.1,0,7.7,10,0,5,0,5,6.3,1374621,0,0,0,3,1871,47782,0,1,350,Arsenal,Man City,Leicester,Man Utd,Everton,3.4,3.7,8.7,6.4,188.9
Harry,Arter,MID,BOU,4700000,0,27,0.771428571428571,1.64133738601824E-07,5.74468085106383E-06,0,41686,4,13,0,0,0,1,0,5.7,99,-3,0,27,3,0,0,0,0,0,3,0,0,0.4,14031,0,0,0,0,959,26,0,0,156,Southampton,Swansea,Burnley,,,0,0.4,0.4,0.4,29.2
