"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"1","1.051033516","1.050605221","0.948445148","1.028075728","1","1.05044354","0.957915949","0.969909436","0.925487445","0.937764916","1.058727188","1.036560398","0.953414055","0.970389915","0.982239836","0.990488492","1.081430165","0.976340046","0.950507838","0.960821717","0.940637661","0.962836846","0.945866604","1.101423749","1","1.06706689","1.058795833","0.982718521","0.977459077","1.07803086","0.970965088","0.952157047","0.921566899","1.010836686","1.090161527","1.087288534","0.970930744","1.027160204"
"2","1.051033516","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.952157047","0.921566899","1.010836686","1.090161527","1.087288534","0.970930744","1.027160204"
"3","1.051033516","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.970965088","0.952157047","0.921566899","1.010836686","1.090161527","1.087288534","0.970930744","1.027160204"
"4","1.051033516","1.050605221","0.948445148","1.028075728","1","1.05044354","0.957915949","0.969909436","0.925487445","0.937764916","1.058727188","1.036560398","0.953414055","0.970389915","0.982239836","0.990488492","1.081430165","0.976340046","0.950507838","0.960821717","0.940637661","0.962836846","0.945866604","1.101423749","1","1.06706689","1.058795833","0.982718521","0.977459077","1.07803086","0.970965088","0.952157047","0.921566899","1.010836686","1.090161527","1.087288534","0.970930744","1.027160204"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8","1.044610534","0.951436488","0.960755005","0.978254499","1.05629478","1.08147671","1","1.049371896","1.04709287","1.037738607","1.00491343","0.94121088","1.058958046","1.099970683","0.979304271","0.944692344","0.951682029","0.953443316","0.976927141","1.075275128","1.014033234","1","1.071512447","1.092029943","0.962193261","0.956416821","0.988758755","0.989195396","0.989214447","0.946950771","1.078523569","0.956859057","1.077904141","0.998502247","1.037885463","0.920465226","0.969757414","0.912770575"
"9","1.044610534","1.003937582","0.947272781","0.960084403","1.100745723","1.010627397","0.957331854","1","1.068724605","0.930164577","0.934721572","0.978063761","1.091793955","1.077689827","0.949948628","1.026890559","1.013914167","1.096107556","0.944049786","1.099926632","1","0.944049786","0.934124002","1.022750624","1.081366678","0.990553545","1.075863693","0.986251362","0.953948335","0.998677443","1.071470554","1.104972376","1.084956948","0.919209421","0.916886931","0.969807331","0.960957437","1.006042119"
"10","1.044610534","1.003937582","0.947272781","0.960084403","1.100745723","1.010627397","0.957331854","1","1.068724605","0.930164577","0.934721572","0.978063761","1.091793955","1.077689827","0.949948628","1.026890559","1.013914167","1.096107556","0.944049786","1.099926632","1","0.944049786","0.934124002","1.022750624","1.081366678","0.990553545","1.075863693","0.986251362","0.953948335","0.998677443","1.071470554","1.104972376","1.084956948","0.919209421","0.916886931","0.969807331","0.960957437","1.006042119"
"11","1.044610534","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.006042119"
"12","0.985635875","1.057022021","1.053958205","1","1.052200614","0.963199344","1.088753249","1.03768624","1.005583326","1.039492531","0.954024333","0.966364434","1.09765751","0.977425975","0.958168208","0.969351808","1.060881818","0.945811073","0.944636881","1.084079237","0.99817979","1.09963013","1.000469704","0.954645531","1.106610309","1","0.954623036","1.064562664","0.930437594","1.074504041","0.982132362","0.922181733","1.036175027","1.086018032","0.968575624","0.968632519","0.960957437","0.972018537"
"13","0.985635875","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"14","0.985635875","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"15","0.985635875","1.057022021","1.053958205","1","1.052200614","0.963199344","1.088753249","1.03768624","1.005583326","1.039492531","0.954024333","0.966364434","1.09765751","0.977425975","0.958168208","0.969351808","1.060881818","0.945811073","0.944636881","1.084079237","0.99817979","1.09963013","1.000469704","0.954645531","1.106610309","1","0.954623036","1.064562664","0.930437594","1.074504041","0.982132362","0.922181733","1.036175027","1.086018032","0.968575624","0.968632519","0.960957437","0.972018537"
"16","0.985635875","1.057022021","1.053958205","1","1.052200614","0.963199344","1.088753249","1.03768624","1.005583326","1.039492531","0.954024333","0.966364434","1.09765751","0.977425975","0.958168208","0.969351808","1.060881818","0.945811073","0.944636881","1.084079237","0.99817979","1.09963013","1.000469704","0.954645531","1.106610309","1","0.954623036","1.064562664","0.930437594","1.074504041","0.982132362","0.922181733","1.036175027","1.086018032","0.968575624","0.968632519","0.960957437","0.972018537"
"17","1","0.981187108","0.994167473","1.057382334","0.944582541","0.976666569","1.063053065","1.002629273","1.035400041","0.96348914","0.936476369","0.949985376","0.956932188","1.081207857","1.018640834","0.961719117","1.09963013","1","1.078494687","0.959060895","1.007574423","1.084952739","0.987552842","0.95053574","0.942233181","0.936405638","0.933435348","1.064562664","1.066212126","1.067450404","1.102033619","1","1.00561286","1.086018032","0.916886931","0.959234023","1.017277287","0.942687863"
"18","1","0.951436488","0.960755005","0.978254499","1.05629478","1.08147671","1","1.049371896","1.04709287","1.037738607","1.00491343","0.94121088","1.058958046","1.099970683","0.979304271","0.944692344","0.951682029","0.953443316","0.976927141","1.075275128","1.014033234","1","1.071512447","1.092029943","0.962193261","0.956416821","0.988758755","0.989195396","0.989214447","0.946950771","1.078523569","0.956859057","1.077904141","0.998502247","1.037885463","0.920465226","0.969757414","0.912770575"
"19","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.998502247","1.037885463","0.920465226","0.969757414","0.912770575"
"20","0.960527852","1.052355257","0.939066209","0.940155911","0.965638251","0.952074245","1.004643556","0.966403739","1.044169663","1.067555322","0.961043519","1.096226967","0.95927761","1.024919378","1","1.046265853","1.093759173","0.955791698","1.096694652","0.934409391","0.975867536","1.019198027","0.954673556","0.933509467","0.983327463","0.936405638","0.992878583","0.951511761","0.951597261","1.110947832","0.996238392","1.069119549","1.0114902","1.074858301","0.953303965","1.079652256","1","1.079368804"
