"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"1","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"4","1.074389817","1.068105586","1.06919898","1.073207901","1.07735049","1.08147671","1.088753249","1.091440257","1.093864188","1.089771698","1.094408049","1.092717169","1.091793955","1.093520962","1.1037722","1.106153124","1.09963013","1.09552046","1.096694652","1.099926632","1.09564911","1.09963013","1.100868953","1.092029943","1.08723729","1.084135252","1.084103349","1.076338799","1.075616422","1.067450404","1.066180792","1.069119549","1.057921185","1.060174444","1.062555066","1.058505639","1.070663812","1.077608963"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8","1.046946164","1.050021875","1.053958205","1.057382334","1.055709899","1.05044354","1.044362022","1.048787613","1.055277851","1.06287819","1.069840898","1.075168178","1.077721422","1.081207857","1.090268604","1.091474871","1.093759173","1.096107556","1.097868843","1.099926632","1.093887617","1.100217225","1.101456083","1.101423749","1.106610309","1.104146435","1.105879583","1.108723172","1.10853146","1.110947832","1.102033619","1.104972376","1.107878574","1.101876597","1.104258443","1.11137218","1.112317034","1.11573884"
"9","0.945930165","0.941519615","0.939066209","0.940155911","0.944582541","0.942705741","0.947986332","0.948875256","0.957058084","0.958812009","0.952269537","0.946475578","0.953414055","0.951627089","0.958168208","0.954086426","0.959901368","0.953443316","0.951682029","0.960821717","0.963537079","0.956378794","0.954673556","0.945838838","0.942233181","0.939348459","0.936378083","0.940913239","0.945131807","0.95047759","0.95333255","0.956859057","0.953892268","0.951513906","0.957415565","0.962171053","0.960957437","0.964392562"
"10","0.945930165","0.941519615","0.939066209","0.940155911","0.944582541","0.942705741","0.947986332","0.948875256","0.957058084","0.958812009","0.952269537","0.946475578","0.953414055","0.951627089","0.958168208","0.954086426","0.959901368","0.953443316","0.951682029","0.960821717","0.963537079","0.956378794","0.954673556","0.945838838","0.942233181","0.939348459","0.936378083","0.940913239","0.945131807","0.95047759","0.95333255","0.956859057","0.953892268","0.951513906","0.957415565","0.962171053","0.960957437","0.964392562"
"11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.960957437","0.964392562"
