"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,3.17267055917926,1.9250946199407,1.09462212324191,1.72864337588801,5.0739568063056,5.32542833045248,3.32083544172644,3.50288224204021,2.20851201493557,2.33166857956914,1.65353903466792,2.63174808663892,1.56838385698999,1.33925068781183,2.28656583640658,3.42723440981044,3.45767143252577,3.33418294661911,5.77090385912336,4.65376710772243,2.84504704633404,2.99170950290802,2.60317243045137,2.12064974172182,3.46854806780053,0.799295113815943,0.955268815844491,0.45582557405692,0.736203133431644,0,1.08017777785592,2.37637997675577,3.39251241654059,11.3606185855054,12.1001901599481
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83549273243833,2.96480378729118,0.4422122042815,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511688693313755,0.826511894621008,0.50145491944748,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234155260954317,0.382042794188623,0.234155260954317,0,0.342340717251541
NA,NA,NA,1.73731994051406,2.37150300470253,3.91284946165147,3.80988801595548,4.45683481222725,4.80030975895806,3.61149896966185,5.34626947429653,2.70240978224614,0.479596378467749,0.389487960455045,0.27254795640298,1.28766306654834,4.445797788204,2.94614891927166,2.70771771103945,4.67479626036475,2.2786365323703,3.63494061173903,0.811870528792948,0.730433256661742,0.771819097658034,0.8293631443842,0.840139465773929,7.15429048796705,7.0012205188893,5.61368795651615,4.27859499377793,7.37114815357169,3.56871556223379,4.22879063005369,3.23811499920667,7.18810157205199,5.52743832072771,2.46027643127112
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.8508426851366,3.42858990218821,2.08016761090728,0.459125379362415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
