"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
1,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
2,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
3,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
4,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"H","A","A","H","A","H","A","H","H","A","H","A","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H","A"
9,"H","A","A","H","A","H","A","H","H","A","H","A","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H","A"
10,"H","A","A","H","A","H","A","H","H","A","H","A","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H","A"
11,"H","A","A","H","A","H","A","H","H","A","H","A","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H","A"
12,"H","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","A","A","H","H","A","A","H","A","H","A","H"
13,"H","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","A","A","H","H","A","A","H","A","H","A","H"
14,"H","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","A","A","H","H","A","A","H","A","H","A","H"
15,"H","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","A","A","H","H","A","A","H","A","H","A","H"
16,"H","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","A","A","H","H","A","A","H","A","H","A","H"
17,"H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H"
18,"H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H"
19,"H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H"
20,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","H","A","H","A"
21,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","H","A","H","A"
22,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","H","A","H","A"
