"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
1,13,19,25,27,34,35,37,40,42,44,47,48,50,56,63,65,72,76,78,80,87,87,89,89,91,91,91,91,94,101,105,121,134
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,8,8,8,8,8,8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
9,19,25,27,30,38,39,40,40,40,41,43,50,52,53,61,61,62,63,64,64,66,67,79,81,87,95,98,100,104,110,117,118,120
10,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12,21,28,30,35,39,50,52,52,52,52,53,65,68,77,79,80,90,93,102,104,106,108,108,109,119,121,127,134,136,138,145,146,149
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5
17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,14,21,21,34,34,37,38,44,44,44,45,47,53,64
18,12,13,20,26,33,39,45,51,54,57,63,70,76,83,84,85,91,98,100,103,106,108,110,110,112,113,117,119,119,120,127,133,141
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
20,5,5,5,5,5,5,5,6,6,13,15,17,20,22,24,25,26,30,37,38,40,49,55,55,62,67,69,76,77,82,83,85,92
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,12,18,20,22,23,27,34,36,39,40,43,51,54,54,54,54,54,54,54,54,57,59,59,69,74,77,80,81,83,86,95,102
24,0,0,0,0,0,7,7,7,7,7,7,7,8,20,21,28,36,42,46,47,54,60,62,68,74,75,76,77,80,80,80,80,89
25,16,18,20,37,38,38,39,41,45,47,49,51,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,64,65,68,68
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,28,39,47,49,51,53,55,56,59,60,63,64,70,84,86,86
31,13,13,22,24,27,30,30,30,30,30,30,30,32,33,41,47,48,50,52,55,56,60,63,63,65,71,78,79,80,83,92,103,109
32,0,2,4,10,12,14,18,24,30,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,16,16,16,16,16,16,16,16,16,16,16,23,29,31,38,40,42,43,51,52,60,62,64,66,68,71,72,75,82,83,90,96,110
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,8,11,22,24,26,32,34,36,39,40,40,46,48,54,56,58,58,59,59,59,59,59,59,59,59,59,59,61,67,73,73,73,73
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,17,19,22,30,30,36,38,40,42,44,52,54,60,63,65,71,74,76,82,87,94,94,96,96,98,104,107,107,113,130,133,134,136
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,23
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,13,19,25,27,28,30,31,37,43,44,50,57,60,60,61,63,65,72,74,75,81,81,82,82,84,90,92,99,100,101,107,124,134
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,10,20
48,0,2,7,13,19,22,24,26,33,41,43,53,56,56,57,63,65,68,72,75,82,83,96,96,98,101,103,104,106,106,106,106,106
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,24,25,27,29,35,36,37,41,41,43,49,50,51,52,54,56,57,59,61,63,69,70,71,73,75,81,83,86,90,99,102,108,116
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,14,16,25,28,34,36,38,39,41,47,50,58,60,62,64,70,76,78,78,84,87,95,96,96,98,106,106,112,118,124,132,135,143
55,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,10,11,12,20,29,35,36,38,38,39,40,42,45,53,53,55,61,63,66,69,73,75,77,77,79,86,92,92,101,102,106,108,113
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
61,23,25,27,31,33,34,36,42,45,48,50,53,55,60,62,65,67,74,77,82,83,86,87,88,90,97,98,100,102,102,104,106,113
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,14,17,19,27,33,35,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,43,50,60,64
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,2,6,7,8,16,24,28,31,33,39,41,41,45,46,48,49,59,60,61,63,68,69,69,69,69,69
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,15,26,32,36,43,45,47,47,47,47,53,54,55,62,70,70,70,71,71,72,78,78,79,79,80,81,86,87,88,95,96,97,119
69,6,7,9,11,11,16,18,19,19,26,28,29,35,37,37,45,52,57,57,59,66,66,66,66,66,66,66,66,66,72,80,81,83
70,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,0,0,0,0,0,0,0,0,1,3,5,6,6,12,18,19,25,27,27,28,28,28,28,28,28,29,37,38,39,45,45,45,45
72,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,24,32
73,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,21,27,42,43,51,53,54,56,58,59,61,61,62,71,77,78,87,95,96,97,105,105,106,106,107,107,107,107,109,115,116,121,121
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,14,20,27,28,34,34,36,38,43,45,47,48,49,50,55,56,62,64,64,70,70,70,71,71,72,73,79,80,82,94,94,106,115
79,4,10,18,19,24,26,28,30,31,35,36,36,36,36,36,36,42,49,50,50,57,57,58,58,59,71,76,76,76,76,76,84,90
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,21,27,27,32,38,38,41,41,42,43,44,50,51,52,53,53,53,59,60,60,61,62,64,65,72,79,80,79,79,85,93,100,104
90,2,2,2,2,2,2,2,17,18,25,26,34,42,42,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,55
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,13,18,19,32,38,39,40,47,47,47,57,63,64,65,77,88,89,90,90,90,91,92,94,95,101,107,108,109,109,123,129,130,134
93,11,17,17,19,28,29,30,36,36,36,42,48,49,50,56,54,54,54,55,55,56,56,56,57,63,69,70,71,71,77,85,86,89
94,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-1,2,4,4,4,4,4,4,4,4,4,4,4
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,11,19,20,29,37,38,39,47,47,54,55,62,63,62,69,69,70,70,71,70,71,74,76,76,83,92,94,95,95,101,107,108,112
97,3,3,4,10,15,17,19,20,20,20,20,20,20,20,20,20,20,20,21,23,24,24,29,29,27,27,27,27,27,27,27,27,27
98,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
99,11,17,19,20,22,28,29,29,29,29,33,35,35,35,37,38,46,46,51,52,53,55,56,61,67,68,74,80,81,81,87,88,90
100,9,15,17,21,23,29,30,30,31,32,36,37,38,44,46,53,60,61,67,68,70,72,72,72,79,80,88,95,94,94,94,94,94
101,0,0,0,0,1,1,2,2,3,4,5,5,5,5,6,6,7,8,9,9,9,10,11,11,11,11,12,13,13,14,20,21,23
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,11,17,19,20,22,23,23,23,24,25,32,34,35,40,42,43,49,50,56,57,59,61,61,62,68,69,74,82,83,84,88,89,91
104,0,1,7,13,21,27,40,46,48,54,60,67,73,79,82,83,104,110,112,120,122,124,126,126,132,133,135,143,143,147,153,167,177
105,16,17,24,30,37,45,51,56,58,60,69,77,89,95,96,97,103,110,112,114,116,118,120,120,122,123,128,131,132,133,138,148,170
106,11,12,18,24,38,44,50,58,60,60,67,74,82,89,96,96,102,117,119,121,123,125,127,127,135,135,137,139,139,146,160,166,178
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,2,8,14,19,25,31,36,37,39,45,51,58,64,65,66,73,79,89,91,92,93,95,95,102,102,104,106,107,108,116,122,132
109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,10,10,12,22,25,31,34,37,46,48,51,53,56,59,60,62,65,73,75,78,83,85,88,88,90,90,90,91,92,94,97,100,105
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,22,22,22,22,22,22,23,24,27,33,33,34,36,38,39,39,40,42,57,57,57,58,59,59,60,61,61,61,61,61,61,61,61
116,12,13,15,17,18,18,18,18,18,25,26,29,30,31,31,32,33,35,45,44,45,45,45,45,46,47,47,48,48,50,51,50,51
117,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,9
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,9,10,12,13,14,14,14,15,15,16,17,17,19,21,22,25,25,25,25,25,25,25,25,25,25,26,27,33,34,38,39,39,46
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,24,26,27,33,34,35,35,35,35
122,0,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,5,7,7,7,8,9,10,10,17,19,20,26,30,34,34,34,47
123,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
124,8,9,10,12,13,13,13,14,20,33,33,33,33,33,33,33,34,36,42,42,44,51,57,57,65,66,66,66,66,68,68,68,75
125,13,14,21,22,24,24,26,36,37,38,39,41,56,57,57,58,58,59,65,65,67,82,88,88,88,88,88,88,89,90,91,91,98
126,9,10,18,20,21,21,22,23,23,29,30,31,32,34,35,36,36,38,43,42,44,49,58,58,65,67,68,74,75,78,79,79,86
127,21,21,21,21,21,21,21,22,24,35,35,42,44,50,57,72,78,84,86,87,93,99,100,101,107,108,110,110,116,122,123,125,135
128,16,20,22,23,23,29,29,38,40,42,43,51,52,58,59,65,77,92,97,101,108,120,121,127,133,133,133,133,133,133,133,133,133
129,5,5,6,7,7,14,14,14,14,16,17,18,20,26,27,33,39,47,49,53,59,66,67,68,69,69,69,69,69,69,69,69,69
130,16,16,16,16,16,16,16,16,16,17,17,17,17,23,23,23,28,33,34,35,35,35,35,35,35,36,38,39,41,49,50,52,54
131,20,22,28,30,31,32,31,32,34,34,34,33,33,33,33,33,33,34,34,34,34,34,34,40,47,48,59,71,82,89,90,92,104
132,11,25,27,28,30,36,37,37,38,39,40,42,43,49,51,51,57,58,70,71,73,81,82,83,89,89,98,103,104,105,113,113,113
133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,2,8,10,12,13,13,13,13,13,21,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,9,9,9,9,9
137,15,17,19,20,21,28,28,30,31,33,34,45,47,54,55,61,67,74,76,77,83,89,89,95,100,104,106,106,113,118,119,121,127
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,13,14,15,20,26,27
150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,8,8,8,8,8,9,9,9,10,11,11,11,12,12,12,12,19
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,20,20,26,27,35,37,38,38,38,38,39,41,45,45,46,52,52,53,55,55,55,60,69,69,70,75,82,82,86,87,95,103,104
153,15,14,20,20,22,24,25,26,27,26,27,29,29,29,34,40,40,41,43,44,44,46,51,51,58,64,70,69,77,76,82,88,88
154,1,4,4,3,4,6,8,8,8,8,12,12,13,14,17,18,20,21,27,32,33,37,38,40,40,42,49,49,56,65,70,71,71
155,21,21,27,28,30,32,33,34,38,39,40,41,42,42,48,54,55,55,57,58,59,61,63,63,63,63,63,63,63,63,63,63,63
156,14,13,19,19,21,22,23,24,28,29,29,29,29,29,34,40,41,42,44,45,46,48,50,50,51,66,72,72,72,73,79,85,85
