"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
1,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
2,"LIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
3,"LIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
4,"LIV","Leicester","Watford","Southampton","Hull","Chelsea","Burnley","Swansea","Middlesbrough","Sunderland","Tottenham","Man Utd","Bournemouth","West Ham","Stoke","Everton","Man City","West Brom","Crystal Palace","Bournemouth","Swansea","Burnley","Watford","Chelsea","Hull City","Liverpool","Liverpool","West Brom","West Brom","Man City","West Ham","Crystal Palace","Middlesbrough","Leicester","Tottenham","Man Utd","Stoke","Everton"
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"MUN","Watford","Burnley","Swansea","Liverpool","Arsenal","Hull City","Leicester","Man Utd","Southampton","Everton","Middlesbrough","Tottenham","Man City","West Brom","Sunderland","Crystal Palace","Bournemouth","Stoke","Tottenham","Leicester","Hull City","Liverpool","Arsenal","Burnley","Swansea","West Ham","Stoke","Stoke","Crystal Palace","Man City","Bournemouth","Man Utd","Southampton","Everton","Middlesbrough","West Brom","Sunderland"
9,"MUN","West Ham","Crystal Palace","West Brom","Man City","Everton","Watford","Hull City","Tottenham","Middlesbrough","Sunderland","Stoke","Arsenal","Liverpool","Burnley","Leicester","Southampton","Chelsea","Swansea","Arsenal","Hull City","Watford","Crystal Palace","Everton","Man City","West Brom","Man Utd","West Ham","Swansea","Southampton","Liverpool","Chelsea","Tottenham","Middlesbrough","Sunderland","Stoke","Burnley","Leicester"
10,"MUN","West Ham","Crystal Palace","West Brom","Man City","Everton","Watford","Hull City","Tottenham","Middlesbrough","Sunderland","Stoke","Arsenal","Liverpool","Burnley","Leicester","Southampton","Chelsea","Swansea","Arsenal","Hull City","Watford","Crystal Palace","Everton","Man City","West Brom","Man Utd","West Ham","Swansea","Southampton","Liverpool","Chelsea","Tottenham","Middlesbrough","Sunderland","Stoke","Burnley","Leicester"
11,"MUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leicester"
