"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
1,"LIV","LEI","WAT","SOU","Hull","CHE","BUR","SWA","Middlesbrough","Sunderland","TOT","MUN","BOU","WHU","STK","EVE","MCI","WBA","CRY","BOU","SWA","BUR","WAT","CHE","Hull City","LIV","LIV","WBA","WBA","MCI","WHU","CRY","Middlesbrough","LEI","TOT","MUN","STK","EVE"
2,"LIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRY","Middlesbrough","LEI","TOT","MUN","STK","EVE"
3,"LIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHU","CRY","Middlesbrough","LEI","TOT","MUN","STK","EVE"
4,"LIV","LEI","WAT","SOU","Hull","CHE","BUR","SWA","Middlesbrough","Sunderland","TOT","MUN","BOU","WHU","STK","EVE","MCI","WBA","CRY","BOU","SWA","BUR","WAT","CHE","Hull City","LIV","LIV","WBA","WBA","MCI","WHU","CRY","Middlesbrough","LEI","TOT","MUN","STK","EVE"
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"MUN","WAT","BUR","SWA","LIV","ARS","Hull City","LEI","MUN","SOU","EVE","Middlesbrough","TOT","MCI","WBA","Sunderland","CRY","BOU","STK","TOT","LEI","Hull City","LIV","ARS","BUR","SWA","WHU","STK","STK","CRY","MCI","BOU","MUN","SOU","EVE","Middlesbrough","WBA","Sunderland"
9,"MUN","WHU","CRY","WBA","MCI","EVE","WAT","Hull City","TOT","Middlesbrough","Sunderland","STK","ARS","LIV","BUR","LEI","SOU","CHE","SWA","ARS","Hull City","WAT","CRY","EVE","MCI","WBA","MUN","WHU","SWA","SOU","LIV","CHE","TOT","Middlesbrough","Sunderland","STK","BUR","LEI"
10,"MUN","WHU","CRY","WBA","MCI","EVE","WAT","Hull City","TOT","Middlesbrough","Sunderland","STK","ARS","LIV","BUR","LEI","SOU","CHE","SWA","ARS","Hull City","WAT","CRY","EVE","MCI","WBA","MUN","WHU","SWA","SOU","LIV","CHE","TOT","Middlesbrough","Sunderland","STK","BUR","LEI"
