"penalty","horizon","f_horizon","objective_value","mean"
4,1,3,1671,47.7428571428571
5,1,3,1695,48.4285714285714
6,1,3,1800,51.4285714285714
7,1,3,1793,51.2285714285714
8,1,3,1835,52.4285714285714
9,1,3,1862,53.2
10,1,3,1901,54.3142857142857
11,1,3,1850,52.8571428571429
12,1,3,1852,52.9142857142857
13,1,3,1852,52.9142857142857
14,1,3,1855,53
15,1,3,1855,53
16,1,3,1855,53
17,1,3,1855,53
18,1,3,1855,53
19,1,3,1855,53
20,1,3,1855,53
4,2,3,1499,42.8285714285714
5,2,3,1531,43.7428571428571
6,2,3,1652,47.2
7,2,3,1632,46.6285714285714
8,2,3,1638,46.8
9,2,3,1636,46.7428571428571
10,2,3,1703,48.6571428571429
11,2,3,1774,50.6857142857143
12,2,3,1803,51.5142857142857
13,2,3,1851,52.8857142857143
14,2,3,1850,52.8571428571429
15,2,3,1877,53.6285714285714
16,2,3,1879,53.6857142857143
17,2,3,1857,53.0571428571429
18,2,3,1949,55.6857142857143
19,2,3,1988,56.8
20,2,3,1991,56.8857142857143
4,3,3,1445,41.2857142857143
5,3,3,1438,41.0857142857143
6,3,3,1508,43.0857142857143
7,3,3,1649,47.1142857142857
8,3,3,1587,45.3428571428571
9,3,3,1579,45.1142857142857
10,3,3,1704,48.6857142857143
11,3,3,1644,46.9714285714286
12,3,3,1707,48.7714285714286
13,3,3,1708,48.8
14,3,3,1701,48.6
15,3,3,1768,50.5142857142857
16,3,3,1852,52.9142857142857
17,3,3,1937,55.3428571428571
18,3,3,1831,52.3142857142857
19,3,3,1955,55.8571428571429
20,3,3,1945,55.5714285714286
4,4,3,1501,42.8857142857143
5,4,3,1505,43
6,4,3,1478,42.2285714285714
7,4,3,1529,43.6857142857143
8,4,3,1552,44.3428571428571
9,4,3,1626,46.4571428571429
10,4,3,1657,47.3428571428571
11,4,3,1707,48.7714285714286
12,4,3,1678,47.9428571428571
13,4,3,1749,49.9714285714286
14,4,3,1748,49.9428571428571
15,4,3,1728,49.3714285714286
16,4,3,1804,51.5428571428571
17,4,3,1804,51.5428571428571
18,4,3,1784,50.9714285714286
19,4,3,1834,52.4
20,4,3,1755,50.1428571428571
4,5,3,1489,42.5428571428571
5,5,3,1519,43.4
6,5,3,1568,44.8
7,5,3,1577,45.0571428571429
8,5,3,1572,44.9142857142857
9,5,3,1607,45.9142857142857
10,5,3,1703,48.6571428571429
11,5,3,1720,49.1428571428571
12,5,3,1749,49.9714285714286
13,5,3,1669,47.6857142857143
14,5,3,1753,50.0857142857143
15,5,3,1728,49.3714285714286
16,5,3,1741,49.7428571428571
17,5,3,1769,50.5428571428571
18,5,3,1732,49.4857142857143
19,5,3,1746,49.8857142857143
20,5,3,1698,48.5142857142857
4,6,3,1445,41.2857142857143
5,6,3,1478,42.2285714285714
6,6,3,1565,44.7142857142857
7,6,3,1538,43.9428571428571
8,6,3,1573,44.9428571428571
9,6,3,1684,48.1142857142857
10,6,3,1669,47.6857142857143
11,6,3,1695,48.4285714285714
12,6,3,1688,48.2285714285714
13,6,3,1789,51.1142857142857
14,6,3,1705,48.7142857142857
15,6,3,1719,49.1142857142857
16,6,3,1740,49.7142857142857
17,6,3,1752,50.0571428571429
18,6,3,1761,50.3142857142857
19,6,3,1785,51
20,6,3,1732,49.4857142857143
4,7,3,1456,41.6
5,7,3,1515,43.2857142857143
6,7,3,1563,44.6571428571429
7,7,3,1599,45.6857142857143
8,7,3,1593,45.5142857142857
9,7,3,1632,46.6285714285714
10,7,3,1654,47.2571428571429
11,7,3,1637,46.7714285714286
12,7,3,1639,46.8285714285714
13,7,3,1800,51.4285714285714
14,7,3,1692,48.3428571428571
15,7,3,1739,49.6857142857143
16,7,3,1709,48.8285714285714
17,7,3,1818,51.9428571428571
18,7,3,1663,47.5142857142857
19,7,3,1749,49.9714285714286
20,7,3,1759,50.2571428571429
4,8,3,1473,42.0857142857143
5,8,3,1506,43.0285714285714
6,8,3,1503,42.9428571428571
7,8,3,1503,42.9428571428571
8,8,3,1573,44.9428571428571
9,8,3,1641,46.8857142857143
10,8,3,1729,49.4
11,8,3,1604,45.8285714285714
12,8,3,1650,47.1428571428571
13,8,3,1774,50.6857142857143
14,8,3,1768,50.5142857142857
15,8,3,1745,49.8571428571429
16,8,3,1680,48
17,8,3,1762,50.3428571428571
18,8,3,1725,49.2857142857143
19,8,3,1739,49.6857142857143
20,8,3,1759,50.2571428571429
4,9,3,1450,41.4285714285714
5,9,3,1510,43.1428571428571
6,9,3,1519,43.4
7,9,3,1585,45.2857142857143
8,9,3,1616,46.1714285714286
9,9,3,1661,47.4571428571429
10,9,3,1654,47.2571428571429
11,9,3,1627,46.4857142857143
12,9,3,1640,46.8571428571429
13,9,3,1753,50.0857142857143
14,9,3,1684,48.1142857142857
15,9,3,1750,50
16,9,3,1693,48.3714285714286
17,9,3,1709,48.8285714285714
18,9,3,1781,50.8857142857143
19,9,3,1744,49.8285714285714
20,9,3,1812,51.7714285714286
4,10,3,1432,40.9142857142857
5,10,3,1519,43.4
6,10,3,1516,43.3142857142857
7,10,3,1572,44.9142857142857
8,10,3,1608,45.9428571428571
9,10,3,1617,46.2
10,10,3,1646,47.0285714285714
11,10,3,1626,46.4571428571429
12,10,3,1605,45.8571428571429
13,10,3,1784,50.9714285714286
14,10,3,1684,48.1142857142857
15,10,3,1750,50
16,10,3,1678,47.9428571428571
17,10,3,1709,48.8285714285714
18,10,3,1783,50.9428571428571
19,10,3,1747,49.9142857142857
20,10,3,1812,51.7714285714286
4,1,4,1702,50.0588235294118
5,1,4,1815,53.3823529411765
6,1,4,1865,54.8529411764706
7,1,4,1799,52.9117647058824
8,1,4,1722,50.6470588235294
9,1,4,1728,50.8235294117647
10,1,4,1877,55.2058823529412
11,1,4,1877,55.2058823529412
12,1,4,1877,55.2058823529412
13,1,4,1757,51.6764705882353
14,1,4,1757,51.6764705882353
15,1,4,1757,51.6764705882353
16,1,4,1757,51.6764705882353
17,1,4,1757,51.6764705882353
18,1,4,1757,51.6764705882353
19,1,4,1757,51.6764705882353
20,1,4,1757,51.6764705882353
4,2,4,1547,45.5
5,2,4,1643,48.3235294117647
6,2,4,1688,49.6470588235294
7,2,4,1831,53.8529411764706
8,2,4,1747,51.3823529411765
9,2,4,1841,54.1470588235294
10,2,4,1799,52.9117647058824
11,2,4,1775,52.2058823529412
12,2,4,1797,52.8529411764706
13,2,4,1723,50.6764705882353
14,2,4,1709,50.2647058823529
15,2,4,1714,50.4117647058824
16,2,4,1714,50.4117647058824
17,2,4,1714,50.4117647058824
18,2,4,1789,52.6176470588235
19,2,4,1789,52.6176470588235
20,2,4,1789,52.6176470588235
4,3,4,1558,45.8235294117647
5,3,4,1570,46.1764705882353
6,3,4,1611,47.3823529411765
7,3,4,1679,49.3823529411765
8,3,4,1724,50.7058823529412
9,3,4,1790,52.6470588235294
10,3,4,1809,53.2058823529412
11,3,4,1720,50.5882352941176
12,3,4,1851,54.4411764705882
13,3,4,1791,52.6764705882353
14,3,4,1795,52.7941176470588
15,3,4,1756,51.6470588235294
16,3,4,1724,50.7058823529412
17,3,4,1728,50.8235294117647
18,3,4,1807,53.1470588235294
19,3,4,1763,51.8529411764706
20,3,4,1733,50.9705882352941
4,4,4,1580,46.4705882352941
5,4,4,1623,47.7352941176471
6,4,4,1575,46.3235294117647
7,4,4,1590,46.7647058823529
8,4,4,1694,49.8235294117647
9,4,4,1818,53.4705882352941
10,4,4,1745,51.3235294117647
11,4,4,1755,51.6176470588235
12,4,4,1766,51.9411764705882
13,4,4,1734,51
14,4,4,1797,52.8529411764706
15,4,4,1792,52.7058823529412
16,4,4,1793,52.7352941176471
17,4,4,1782,52.4117647058824
18,4,4,1880,55.2941176470588
19,4,4,1941,57.0882352941176
20,4,4,1832,53.8823529411765
4,5,4,1474,43.3529411764706
5,5,4,1527,44.9117647058824
6,5,4,1585,46.6176470588235
7,5,4,1645,48.3823529411765
8,5,4,1644,48.3529411764706
9,5,4,1758,51.7058823529412
10,5,4,1741,51.2058823529412
11,5,4,1721,50.6176470588235
12,5,4,1810,53.2352941176471
13,5,4,1739,51.1470588235294
14,5,4,1761,51.7941176470588
15,5,4,1835,53.9705882352941
16,5,4,1750,51.4705882352941
17,5,4,1904,56
18,5,4,1793,52.7352941176471
19,5,4,1789,52.6176470588235
20,5,4,1780,52.3529411764706
4,6,4,1544,45.4117647058824
5,6,4,1543,45.3823529411765
6,6,4,1607,47.2647058823529
7,6,4,1656,48.7058823529412
8,6,4,1669,49.0882352941176
9,6,4,1717,50.5
10,6,4,1743,51.2647058823529
11,6,4,1749,51.4411764705882
12,6,4,1726,50.7647058823529
13,6,4,1772,52.1176470588235
14,6,4,1792,52.7058823529412
15,6,4,1784,52.4705882352941
16,6,4,1719,50.5588235294118
17,6,4,1814,53.3529411764706
18,6,4,1762,51.8235294117647
19,6,4,1833,53.9117647058824
20,6,4,1724,50.7058823529412
4,7,4,1525,44.8529411764706
5,7,4,1597,46.9705882352941
6,7,4,1578,46.4117647058824
7,7,4,1654,48.6470588235294
8,7,4,1663,48.9117647058824
9,7,4,1766,51.9411764705882
10,7,4,1784,52.4705882352941
11,7,4,1778,52.2941176470588
12,7,4,1774,52.1764705882353
13,7,4,1786,52.5294117647059
14,7,4,1800,52.9411764705882
15,7,4,1777,52.2647058823529
16,7,4,1727,50.7941176470588
17,7,4,1857,54.6176470588235
18,7,4,1827,53.7352941176471
19,7,4,1856,54.5882352941176
20,7,4,1789,52.6176470588235
4,8,4,1521,44.7352941176471
5,8,4,1548,45.5294117647059
6,8,4,1605,47.2058823529412
7,8,4,1705,50.1470588235294
8,8,4,1697,49.9117647058824
9,8,4,1681,49.4411764705882
10,8,4,1711,50.3235294117647
11,8,4,1749,51.4411764705882
12,8,4,1743,51.2647058823529
13,8,4,1751,51.5
14,8,4,1814,53.3529411764706
15,8,4,1798,52.8823529411765
16,8,4,1810,53.2352941176471
17,8,4,1785,52.5
18,8,4,1846,54.2941176470588
19,8,4,1841,54.1470588235294
20,8,4,1754,51.5882352941176
4,9,4,1445,42.5
5,9,4,1559,45.8529411764706
6,9,4,1557,45.7941176470588
7,9,4,1673,49.2058823529412
8,9,4,1626,47.8235294117647
9,9,4,1652,48.5882352941176
10,9,4,1753,51.5588235294118
11,9,4,1668,49.0588235294118
12,9,4,1739,51.1470588235294
13,9,4,1751,51.5
14,9,4,1801,52.9705882352941
15,9,4,1817,53.4411764705882
16,9,4,1813,53.3235294117647
17,9,4,1784,52.4705882352941
18,9,4,1870,55
19,9,4,1833,53.9117647058824
20,9,4,1734,51
4,10,4,1497,44.0294117647059
