"penalty","horizon","f_horizon","objective_value","mean"
4,1,8,1681,56.0333333333333
5,1,8,1709,56.9666666666667
6,1,8,1723,57.4333333333333
7,1,8,1723,57.4333333333333
8,1,8,1723,57.4333333333333
9,1,8,1693,56.4333333333333
10,1,8,1693,56.4333333333333
11,1,8,1693,56.4333333333333
12,1,8,1693,56.4333333333333
13,1,8,1693,56.4333333333333
14,1,8,1693,56.4333333333333
15,1,8,1693,56.4333333333333
16,1,8,1693,56.4333333333333
17,1,8,1693,56.4333333333333
18,1,8,1693,56.4333333333333
19,1,8,1693,56.4333333333333
20,1,8,1693,56.4333333333333
4,2,8,1593,53.1
5,2,8,1573,52.4333333333333
6,2,8,1617,53.9
7,2,8,1637,54.5666666666667
8,2,8,1639,54.6333333333333
9,2,8,1658,55.2666666666667
10,2,8,1655,55.1666666666667
11,2,8,1667,55.5666666666667
12,2,8,1706,56.8666666666667
13,2,8,1692,56.4
14,2,8,1692,56.4
15,2,8,1706,56.8666666666667
16,2,8,1706,56.8666666666667
17,2,8,1706,56.8666666666667
18,2,8,1706,56.8666666666667
19,2,8,1706,56.8666666666667
20,2,8,1706,56.8666666666667
4,3,8,1456,48.5333333333333
5,3,8,1434,47.8
6,3,8,1531,51.0333333333333
7,3,8,1634,54.4666666666667
8,3,8,1577,52.5666666666667
9,3,8,1698,56.6
10,3,8,1645,54.8333333333333
11,3,8,1680,56
12,3,8,1707,56.9
13,3,8,1680,56
14,3,8,1697,56.5666666666667
15,3,8,1699,56.6333333333333
16,3,8,1651,55.0333333333333
17,3,8,1669,55.6333333333333
18,3,8,1728,57.6
19,3,8,1654,55.1333333333333
20,3,8,1704,56.8
4,4,8,1412,47.0666666666667
5,4,8,1471,49.0333333333333
6,4,8,1484,49.4666666666667
7,4,8,1488,49.6
8,4,8,1553,51.7666666666667
9,4,8,1573,52.4333333333333
10,4,8,1577,52.5666666666667
11,4,8,1550,51.6666666666667
12,4,8,1607,53.5666666666667
13,4,8,1700,56.6666666666667
14,4,8,1672,55.7333333333333
15,4,8,1659,55.3
16,4,8,1688,56.2666666666667
17,4,8,1648,54.9333333333333
18,4,8,1645,54.8333333333333
19,4,8,1698,56.6
20,4,8,1657,55.2333333333333
4,5,8,1409,46.9666666666667
5,5,8,1441,48.0333333333333
6,5,8,1487,49.5666666666667
7,5,8,1518,50.6
8,5,8,1583,52.7666666666667
9,5,8,1622,54.0666666666667
10,5,8,1603,53.4333333333333
11,5,8,1582,52.7333333333333
12,5,8,1621,54.0333333333333
13,5,8,1612,53.7333333333333
14,5,8,1747,58.2333333333333
15,5,8,1665,55.5
16,5,8,1653,55.1
17,5,8,1599,53.3
18,5,8,1724,57.4666666666667
19,5,8,1733,57.7666666666667
20,5,8,1666,55.5333333333333
4,6,8,1345,44.8333333333333
5,6,8,1462,48.7333333333333
6,6,8,1451,48.3666666666667
7,6,8,1523,50.7666666666667
8,6,8,1496,49.8666666666667
9,6,8,1574,52.4666666666667
10,6,8,1583,52.7666666666667
11,6,8,1685,56.1666666666667
12,6,8,1690,56.3333333333333
13,6,8,1732,57.7333333333333
14,6,8,1737,57.9
15,6,8,1721,57.3666666666667
16,6,8,1666,55.5333333333333
17,6,8,1705,56.8333333333333
18,6,8,1683,56.1
19,6,8,1696,56.5333333333333
20,6,8,1677,55.9
4,7,8,1365,45.5
5,7,8,1440,48
6,7,8,1477,49.2333333333333
7,7,8,1506,50.2
8,7,8,1570,52.3333333333333
9,7,8,1577,52.5666666666667
10,7,8,1568,52.2666666666667
11,7,8,1634,54.4666666666667
12,7,8,1653,55.1
13,7,8,1685,56.1666666666667
14,7,8,1737,57.9
15,7,8,1721,57.3666666666667
16,7,8,1739,57.9666666666667
17,7,8,1644,54.8
18,7,8,1658,55.2666666666667
19,7,8,1635,54.5
20,7,8,1665,55.5
4,8,8,1369,45.6333333333333
5,8,8,1456,48.5333333333333
6,8,8,1495,49.8333333333333
7,8,8,1450,48.3333333333333
8,8,8,1468,48.9333333333333
9,8,8,1571,52.3666666666667
10,8,8,1582,52.7333333333333
11,8,8,1648,54.9333333333333
12,8,8,1672,55.7333333333333
13,8,8,1640,54.6666666666667
14,8,8,1638,54.6
15,8,8,1722,57.4
16,8,8,1658,55.2666666666667
17,8,8,1689,56.3
18,8,8,1665,55.5
19,8,8,1664,55.4666666666667
20,8,8,1707,56.9
4,9,8,1385,46.1666666666667
5,9,8,1461,48.7
6,9,8,1495,49.8333333333333
7,9,8,1470,49
8,9,8,1518,50.6
9,9,8,1492,49.7333333333333
10,9,8,1576,52.5333333333333
11,9,8,1575,52.5
12,9,8,1660,55.3333333333333
13,9,8,1632,54.4
14,9,8,1719,57.3
15,9,8,1648,54.9333333333333
16,9,8,1685,56.1666666666667
17,9,8,1692,56.4
18,9,8,1672,55.7333333333333
19,9,8,1658,55.2666666666667
20,9,8,1655,55.1666666666667
4,10,8,1364,45.4666666666667
5,10,8,1461,48.7
6,10,8,1514,50.4666666666667
7,10,8,1452,48.4
8,10,8,1534,51.1333333333333
9,10,8,1494,49.8
10,10,8,1582,52.7333333333333
11,10,8,1590,53
12,10,8,1655,55.1666666666667
13,10,8,1646,54.8666666666667
14,10,8,1714,57.1333333333333
15,10,8,1707,56.9
16,10,8,1685,56.1666666666667
17,10,8,1643,54.7666666666667
18,10,8,1679,55.9666666666667
19,10,8,1644,54.8
20,10,8,1710,57
