"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
1,2360,2360,2360,2360,9441,28918,34400,10617,15671,4610,4427,13515,7995,10267,1959,947,2502,4820,15026,17801,13002,7088,1318,3133,1789,710,815,1737,153,91,143,606,2798,10956,31014,55397,7581,7581
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,38,37,19,14,43,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,3164,2262,1530,3539,2890,6702,NA,NA
4,39,39,39,39,155,104,85,46,37,60,70,45,55,56,41,23,27,32,27,70,37,33,12,56,28,31,23,15,537,798,80,40,18,14,9,15,80,80
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,22,22,22,22,89,46,50,29,35,34,62,26,33,41,24,21,38,22,31,47,34,59,20,25,63,17,21,9,107,10,8,19,216,19,11,23,38,38
9,3212,3212,3212,3212,12847,52385,37469,6301,24384,20820,11671,756,532,3297,1011,3069,887,2341,8438,15567,3510,1404,332,264,784,670,19781,2198,4002,1512,1663,2272,9755,14082,6712,4556,8010,8010
10,10,10,10,10,39,72,74,39,44,57,43,450,294,193,45,35,42,48,53,112,52,23,11,24,16,14,16,9,16,9,9,12,21,9,11,18,55,55
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2508,2508,2508,2508,10033,22982,25606,17869,24167,133304,72902,26203,5306,5390,7444,15505,24722,40304,30679,63084,34075,28592,36037,18394,27570,8911,7337,6672,20299,10944,18666,20003,10719,5422,4962,2798,22618,22618
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,280,280,280,280,1119,669,527,288,289,533,568,238,150,214,128,133,130,197,247,6747,3052,2107,3543,6307,4299,1631,1281,953,976,487,679,2784,2466,1099,1521,5351,1320,1320
16,258,258,258,258,1031,673,514,325,258,463,579,302,3781,4975,1708,1491,1884,2993,4173,3782,1254,796,494,604,928,795,1149,743,757,352,246,226,226,185,98,196,1102,1102
17,80,80,80,80,319,131,70,43,44,121,89,42,40,44,21,12,23,22,17,51,19,21,1832,1629,1414,8899,2984,2868,2278,716,7464,698,189,21891,24404,78706,2247,2247
18,668,668,668,668,2671,1874,2583,2047,10861,17992,46757,23342,25663,40849,21153,31006,30429,21521,14877,26381,16284,9190,5704,13933,12372,3071,5287,6653,5720,957,3708,3599,2170,2825,4715,17000,11949,11949
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,8,6,NA,NA
20,98,98,98,98,392,172,168,111,65,159,335,598,375,3138,455,490,1691,4532,11344,7663,2839,3074,4782,851,1461,2033,3252,4690,3927,3533,2056,14354,17238,7709,939,1668,2993,2993
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,17,17,17,17,69,47,33,31,15,30,41,30,30,33,12,10,24,31,25,112,26,16,7,20,17,11,14,6,16,8,12,16,17,8,6,8,24,24
23,13958,13958,13958,13958,55834,38103,37361,22792,13214,20414,27310,25120,32561,19978,4959,8074,17363,8531,2736,5866,1792,1460,886,1528,1850,7395,5034,12199,15007,6003,9576,12999,8863,14342,10716,24239,14050,14050
24,18,18,18,18,70,53,20,54,21,307,116,39,50,49,18,18,84,4054,654,3200,8452,8255,6031,2628,5398,2440,15349,4972,1654,359,1752,5251,983,117,68,370,2074,2074
25,6314,6314,6314,6314,25255,6953,1881,59415,11635,3601,7304,2520,5980,4115,675,706,540,254,173,790,1429,678,907,618,1126,147,642,131,92,24,58,176,66,366,203,292,4498,4498
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,7,7,7,7,29,33,19,11,6,60,26,15,13,11,12,12,6,7,6,10,14,5,5,6,16,7,2,5,8,2,3,4,2,7,3,9,12,12
30,26068,26068,26068,26068,104273,24708,11064,3903,2168,8376,9084,4411,4625,8427,3970,5365,10668,17126,31601,53123,37603,28872,26544,45403,36374,13099,12740,4180,3589,2682,1889,3078,3488,6609,17816,10477,17860,17860
