"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
1,9116,9116,9116,9116,36465,12788,9738,17832,6409,26249,20294,6795,10285,12249,15992,27324,17253,8363,9859,24528,9388,9270,19694,15490,20076,10357,10351,5116,38301,13348,17273,14055,4837,3768,2719,3183,13823,13823
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,21,8,11,8,18,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,104,511,1241,805,782,1948,NA,NA
4,106,106,106,106,423,355,332,242,196,224,196,127,132,144,92,78,120,95,75,171,135,97,46,90,114,55,53,52,84,98,657,429,206,102,36,56,159,159
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,112,112,112,112,450,293,261,156,166,205,211,107,123,150,73,91,104,111,76,164,83,92,72,77,102,53,59,45,55,50,54,48,48,124,31,62,117,117
9,2293,2293,2293,2293,9171,4764,5279,7133,2088,7402,8972,28635,25754,8220,3772,2579,6793,4602,6445,13406,8917,8268,8870,11421,6275,5537,2044,4562,3353,2003,2790,3775,3422,2931,3010,11326,6545,6545
10,48,48,48,48,193,143,109,71,96,114,87,68,124,187,121,122,128,103,119,179,108,99,61,129,249,102,102,43,94,39,47,62,48,28,27,32,96,96
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4151,4151,4151,4151,16604,6974,11484,6629,2894,2145,5764,12229,45730,32737,7691,4158,5607,3294,15330,20392,12516,6179,2796,11603,5889,10287,24792,8914,4974,3051,3127,6358,13179,14861,12701,54363,10096,10096
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,887,887,887,887,3548,1814,1444,1078,864,1321,1033,657,952,769,332,490,615,589,1210,2168,1072,939,749,1083,2665,1588,1979,1080,1497,673,960,896,1073,763,719,1856,1123,1123
16,1088,1088,1088,1088,4353,2157,1821,1378,1105,1693,1345,783,682,929,791,1055,1289,1394,2539,4499,2456,1747,1541,1864,2392,1130,1157,878,1058,561,814,1185,1225,860,711,1587,1448,1448
17,904,904,904,904,3618,1810,1317,659,570,633,438,256,234,229,148,143,188,154,147,269,142,104,128,384,664,559,1564,1044,923,652,404,4538,5461,1712,2213,1807,972,972
18,7557,7557,7557,7557,30228,20193,10465,7248,3558,6033,6645,5168,6479,6274,3460,3047,4116,5776,18243,23248,10961,12769,9553,10409,13270,13265,10303,5824,19069,10315,7451,13072,34953,11785,4437,5907,10580,10580
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,6,NA,NA
20,3483,3483,3483,3483,13933,8474,6958,4940,3548,4547,3361,1318,1729,1359,1129,1125,1212,1496,2231,8129,2926,1922,1192,2985,1759,1672,3227,1065,1860,656,1426,1240,3128,3475,5641,9065,3147,3147
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,149,149,149,149,596,344,314,224,184,265,181,122,118,137,64,88,126,109,121,209,142,140,149,112,143,56,59,30,44,19,26,64,55,27,19,45,136,136
23,1702,1702,1702,1702,6810,4044,5794,4026,4645,6559,3278,2439,2709,4417,4715,4118,4770,48596,61345,68651,32939,20311,16737,16957,15843,3544,5336,1886,1973,1376,1899,2445,4787,4585,6221,5253,10825,10825
24,63,63,63,63,252,135,138,124,91,108,171,114,95,81,71,51,79,214,1002,1410,1265,1260,933,2145,1075,1866,1191,1895,3468,1700,1416,1448,3785,7637,3700,6746,1118,1118
25,1952,1952,1952,1952,7807,5496,9480,1718,7195,27965,8004,7070,5904,5600,9529,8233,14260,20468,12552,13016,3967,3682,2799,3576,3143,2177,1972,1414,1350,590,717,1063,906,318,218,1151,5659,5659
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,1,1,5,16,20,12,18,31,34,33,24,21,16,13,15,17,8,15,10,8,8,15,12,8,5,6,10,2,5,4,8,4,4,6,13,13
30,2434,2434,2434,2434,9734,19780,36336,36420,35120,32787,18919,19168,23584,14749,8624,12560,10464,9168,18664,27425,8581,6224,4311,4347,5124,7087,6091,7135,7244,3621,7077,6927,10358,9588,8922,28897,12671,12671
31,13022,13022,13022,13022,52089,26874,10053,9996,8146,39010,30788,14353,11324,8827,3735,4787,2434,2745,1926,4327,3178,2798,2158,2720,2951,1350,2310,856,1030,645,1972,1810,2781,1532,919,2593,8558,8558
32,173,173,173,173,691,901,1510,721,1415,2440,2406,946,1254,4717,6213,16539,9667,6002,4385,4114,2188,1451,1009,1111,1073,550,631,317,452,206,264,322,314,179,136,181,2134,2134
33,1770,1770,1770,1770,7080,12488,13138,8177,7353,6625,4677,2766,2428,1937,1239,746,1033,1573,1786,5723,2262,5082,1176,4715,1385,2739,1648,5303,2355,1046,1904,1776,2037,2382,1706,5863,3475,3475
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1126,1126,1126,1126,4506,6017,3323,5691,6466,4457,7411,3451,6326,6110,7340,5345,3577,3367,3250,7242,7141,3506,2786,3876,2875,1444,1950,1107,1076,493,609,517,567,2223,1144,1194,3389,3389
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,21544,21544,21544,21544,86174,46463,70783,27239,32399,33711,47775,21989,26529,32383,7990,18654,11935,18037,28600,37312,23448,20576,12414,13471,30314,7916,15681,6071,8538,6148,6318,41751,5469,6626,19118,25019,23900,23900
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,NA,NA
39,52,52,52,52,209,177,150,103,100,111,110,70,77,67,47,62,80,56,44,99,73,52,29,57,100,43,45,20,39,16,19,82,297,123,56,63,80,80
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2028,2028,2028,2028,8114,4318,2906,6869,4245,5200,12520,1858,1779,4058,2450,2106,5611,5181,11162,15627,9456,4865,5346,8183,9552,3722,4769,3104,2244,1235,1815,2255,3441,2728,2654,3130,4729,4729
45,105,105,105,105,420,270,233,169,177,384,280,129,164,139,90,91,99,97,98,179,95,79,63,84,98,42,37,20,44,14,19,55,33,27,14,29,117,117
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,162,135,159,136,78,126,152,114,160,273,115,109,72,103,166,75,87,45,68,31,39,76,58,44,33,65,NA,NA
47,2714,2714,2714,2714,10854,5834,4811,2988,2211,2944,2379,1097,1453,1783,798,1045,1487,1238,835,1714,938,721,548,673,869,383,327,206,313,138,184,250,109,114,243,849,1648,1648
48,52,52,52,52,207,495,1020,845,816,2250,1976,2178,1174,3178,1573,1380,5646,5950,8054,15844,13752,7417,6729,8651,8109,5234,13399,5387,5473,3117,5820,5483,14414,27868,25771,46578,5983,5983
49,82,82,82,82,327,192,155,102,88,101,93,29,37,43,34,24,35,32,27,103,71,57,44,48,53,26,30,19,35,10,13,18,13,12,7,10,62,62
50,2126,2126,2126,2126,8504,9019,8162,7428,3218,9559,8284,3047,5495,4744,1900,3788,5604,5392,5893,8515,5557,3075,2210,2341,2259,1506,1524,2742,1656,1564,2068,1217,1406,1133,800,1849,3887,3887
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,898,898,898,898,3590,1831,1558,1130,938,1336,1036,623,857,778,371,513,719,730,1308,1968,1007,818,679,1046,1727,1007,2386,799,1211,608,840,1529,1701,1065,914,2427,1125,1125
53,4,4,4,4,17,5,12,8,3,7,6,4,5,10,2,4,5,3,8,12,7,4,4,6,9,2,6,1,4,3,5,2,3,5,2,2,7,7
54,1199,1199,1199,1199,4797,7743,3421,4332,3180,12060,8287,10295,4311,6304,2892,3065,9174,7159,13966,15107,11082,6879,12134,6898,4270,5728,6315,2727,3403,1484,15369,3608,6622,5580,2887,5634,6135,6135
55,687,687,687,687,2749,1533,1306,658,551,527,372,252,207,197,122,170,189,130,135,269,184,127,93,180,120,74,82,48,66,27,87,176,109,74,28,32,370,370
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1476,1476,1476,1476,5903,4409,4350,2358,1084,3441,7761,1379,2218,2461,2223,1732,2058,1365,2039,4016,3582,1589,909,1871,946,1083,1658,640,755,465,1444,646,986,1582,699,1282,2061,2061
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,290,290,290,290,1160,725,616,464,383,530,403,274,299,333,163,186,265,218,219,443,204,260,333,378,440,148,158,93,105,19,38,72,62,38,38,77,286,286
61,5524,5524,5524,5524,22097,14729,21923,13558,16381,25299,12820,5403,5494,11508,5653,13018,17755,7513,17096,37099,18059,9417,8592,10073,8646,9806,9707,15222,12228,3623,6707,12174,24525,9752,10444,17000,12370,12370
62,833,833,833,833,3332,1723,1471,1076,747,1069,746,739,1048,879,413,520,333,310,363,739,379,326,253,282,433,198,220,119,139,69,91,159,214,82,46,141,602,602
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,67,104,83,105,154,150,172,381,157,105,64,83,97,44,42,24,41,12,20,26,29,17,14,22,NA,NA
64,3192,3192,3192,3192,12766,6838,6366,2162,2650,3589,4308,5249,4812,4427,2799,3360,3578,2606,2245,3448,1892,1384,936,1043,1134,516,592,372,431,203,259,371,354,141,92,341,2588,2588
65,2005,2005,2005,2005,8019,3615,2822,1406,1027,1194,988,463,457,386,260,289,374,228,164,416,254,176,129,180,198,110,121,59,109,47,49,113,78,60,39,60,855,855
66,258,258,258,258,1030,645,540,421,349,487,339,167,226,454,261,348,943,894,2985,6052,2510,3032,2508,2026,2020,2036,1185,1514,1704,1633,1287,1312,3501,4799,3192,5696,1464,1464
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
