"FirstName_1","Surname_1","PositionsList.x","Team","index","PositionsList.y","points"
"Jonas","Lossl","GLK","HUD",28,"GLK",9
"","Zanka","DEF","HUD",148,"DEF",10
"Ben","Davies","DEF","TOT",232,"DEF",14
"Ahmed El-Sayed","Hegazi","DEF","WBA",257,"DEF",30
"Henrikh","Mkhitaryan","MID","ARS",279,"MID",11
"Mohamed","Salah","MID","LIV",400,"MID",11
"Paul","Pogba","MID","MUN",427,"MID",8
"Christian","Eriksen","MID","TOT",484,"MID",12
"Sam","Vokes","FWD","BUR",553,"FWD",13
"Roberto","Firmino","FWD","LIV",577,"FWD",12
"Romelu","Lukaku","FWD","MUN",584,"FWD",13
"Jonas","Lossl","GLK","HUD",28,"GLK",8
"Marcos","Alonso","DEF","CHE",104,"DEF",32
"Harry","Maguire","DEF","LEI",154,"DEF",15
"Eric","Bailly","DEF","MUN",177,"DEF",15
"Ahmed El-Sayed","Hegazi","DEF","WBA",257,"DEF",8
"Henrikh","Mkhitaryan","MID","ARS",279,"MID",10
"Aaron","Mooy","MID","HUD",372,"MID",10
"Paul","Pogba","MID","MUN",427,"MID",15
"","Richarlison","MID","WAT",505,"MID",11
"Romelu","Lukaku","FWD","MUN",584,"FWD",6
"","Chicharito","FWD","WHU",620,"FWD",13
"Fraser","Forster","GLK","SOU",44,"GLK",11
"Antonio","Valencia","DEF","MUN",186,"DEF",9
"Ciaran","Clark","DEF","NEW",187,"DEF",30
"Kyle","Naughton","DEF","SWA",223,"DEF",12
"Kiko","Femenia","DEF","WAT",245,"DEF",8
"Cesc","Fabregas","MID","CHE",329,"MID",11
"Mohamed","Salah","MID","LIV",400,"MID",11
"David","Silva","MID","MCI",405,"MID",6
"Alvaro","Morata","FWD","CHE",559,"FWD",12
"Roberto","Firmino","FWD","LIV",577,"FWD",12
"","Jesus","FWD","MCI",582,"FWD",9
"Robert","Elliot","GLK","NEW",42,"GLK",8
"Jamaal","Lascelles","DEF","NEW",192,"DEF",15
"Ben","Davies","DEF","TOT",232,"DEF",14
"Kieran","Trippier","DEF","TOT",236,"DEF",10
"Kiko","Femenia","DEF","WAT",245,"DEF",11
