"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
10.4438157852,4.516049998152,2.52666666653333,2.0392105272,3.50890833314817,6.375268420038,8.077097371343,7.455066663616,4.1720250019305,2.823431577792,1.3033333328,1.79144736925,3.928900001818,5.907410524512,7.45665789246,4.193474998284,2.9324999988,3.2401065801195,5.142678945264,4.86250000225,3.209250001485,1.755618421865,1.29666666726667,1.79144736925,2.26916666771667,2.128239474669,1.9450000009,2.50802631695,2.2464750010395
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307958333475833,0.3403750001575,0.307958333475833
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,3.072659211531,2.79749999895,3.028227632892,3.78749999899,4.46618420885,4.66249999825,4.208510525646,3.45583333278333,5.014118422355,3.19166666716667,3.88039473745,4.962023684471,3.732299999406,3.43749999908333,1.381578947,5.2327302617625,6.088549999031,5.96916666571667,4.909928946587,3.45583333278333,3.36469736988,1.8450000008,1.70855263075,1.8749999995,4.163857893174,4.1668421046
0.319166666716667,1.3668421046,1.699342106,2.43333333386667,2.6747368424,2.42000000026667,1.985992105482,2.749725000303,2.7225000003,3.343421053,2.11750000023333,4.779692106826,6.3749999983,8.1824013136075,5.0744013133275,2.79749999895,3.45335833203717,4.1226315774,3.348675001452,0.988381579164,0.652197368564,0.93249999965,1.699342106,1.8749999995,2.19916666631667,4.253163158118,3.8300000006,3.1267065791115,0.928549999951
0.95750000015,0.676586841777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23000000053333,1.79144736925,1.56249999958333,2.45644736855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.645000000233333,2.1386842113,3.868300000606,6.943650003213,6.12750000221667,5.673684212,5.21160000188533,7.27152631842,9.1785197401625,5.8050000021,3.8900000018,2.1386842113,3.600118422355,6.282350002907,8.4878776355065,6.12750000221667,2.8734750010395,3.2401065801195,2.90250000105,3.5644736855,1.9250000005,5.4001776335325,5.921100002142,6.77250000245,3.92092105405
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2475,3.3849749987295,2.041752631254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.572177631058,2.269574999307,2.483139472926,0,0
5.145,2.7695249989605,3.1563828942345,4.298450001989,5.0934210516,4.654416665724,5.195289472632,4.9124999985,3.9614473668,2.2924999993,3.65593420941,5.01074999847,6.441791665362,5.8210526304,5.51180920941,3.6208333326,3.291666666,2.1828947364,3.32458333266,5.195289472632,6.745144735476,6.193199999376,4.682309209578,4.300074998687,2.521243420542,2.246649999314,0.702228947154,2.646199999192,2.9324999988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.09197368305,2.7225000003,4.052226316236,3.593700000396,3.99,1.805,1.78695,1.62925,0.583616666666667,0.3192,0,0,0,0.601666666666667,3.34225833333333,3.661046053434,2.93265,0,0,0,0,2.16224166737367,3.09197368305,5.39424166580817,3.749999999,4.144736841,2.8254749989395,2.706347367108,3.0422368431
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.9025,1.6625,1.78695,1.6625,1.6625,1.1913,0.589633333333333,3.735006579766,4.3225,4.562500001,3.13941666548833,3.398684212,3.7385526332,1.513875000495,1.010044736463,0,0,0,0,0,0
5.7031578968,4.23442500153183,3.52916666758333,4.1668421046,2.46000000106667,1.66411184247,2.0613157887,1.8450000008,2.3790789484,2.12916666713333,1.996934210964,1.51491666593167,1.23000000053333,1.009409210964,5.2327302617625,7.124700000374,7.6200000004,7.4430355267065,4.9386842113,6.7695250010605,6.836550001071,7.40802631695,4.46833333403333,2.1165789477,2.46934210565,2.23416666701667,1.7370592106175,1.59583333358333,1.9150000003
3.20802631695,2.8734750010395,0.943250000245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06934210565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
