"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
11.9866666666667,3.49339252039101,1.93280235730245,2.34165492220603,2.59035612695841,7.53347590315486,9.05688706294104,5.59286934261772,2.92693663058116,2.90127954679954,0.912236884015093,1.99386726020293,3.13639404840284,6.67580007762026,7.95056422178873,2.8381319559664,1.9531859982058,3.44011294111437,5.25653243598273,3.5060985927187,2.32040752082375,1.98756845945551,0.979934071160614,1.98816072170709,1.68436848920521,2.2288146862807,1.38684874062914,2.8741232551293,1.79488449388179
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224242524200059,0.365869381589569,0.224242524200059
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,3.83004628457134,2.25936208197706,3.63436348790287,2.98777238329079,5.3866395513787,3.84200477004419,5.25604048859009,2.84106144674952,5.88420636439383,2.537645201992,4.73366719363467,5.96978015528629,3.08270573085179,2.71756893186215,1.74163604666682,6.39904979013528,5.03309395118809,4.93718211238105,5.98375113403752,2.89970488028117,4.13001581944007,1.64167442903138,2.21047598890347,1.61560086720607,5.09251840040149,5.05329301877434
0.253333333333333,1.67926199368993,2.07401290517394,2.13881266750333,3.6046735469651,2.22039931289279,2.61300242890567,2.36036996782143,2.41024897739166,4.32690972143896,1.95893627653538,5.91605918722868,5.03725198541952,9.30579048481783,5.77682072202225,2.20608616739757,2.70134702843389,4.8788990964387,2.76273041522222,1.35993377110685,0.845513808220899,0.759385181574663,2.03197187032272,1.54823219095561,1.78622571100336,5.47960223292687,3.27659333241619,4.08394776292332,0.732391745195074
0.76,0.8184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01333333333333,2.19484756710203,1.34830172309189,3.21688822919528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.49921111814688,2.7231298019358,3.10729100182155,8.31741621977113,4.86914922226699,7.11647667617119,4.22996859591301,8.60589577641578,10.5588871943567,4.60369799912198,3.09349904826558,2.62986841830857,4.25314333968605,4.92312230822539,9.74798819375281,4.85126564573717,2.35825224222873,3.83182185616911,2.32262142378992,4.14783975291533,1.67535765352728,6.21236988427112,4.83951862436503,7.98247220163295,4.83938077369344
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.02666666666667,2.7588,2.4304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49058557920561,1.49626045176805,2.41660778972426,0,0
