"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
10.23,5.62964439029325,3.15683328406601,2.98331399079575,2.1042404128434,6.47631650770984,7.39655268028699,5.20416432784374,4.11618784248861,3.75809396844031,1.66605782214533,1.76663820139012,2.52881830341322,5.59624829194449,6.66768714289029,3.72398905829922,2.51791577717284,4.10918036424219,4.24186183807583,2.93593171503685,2.73218919482578,3.06180375636691,1.31477183355619,1.74972484731857,1.42110915012221,2.29810674391,1.38090080346765,3.00333853414133,1.51303289066408,2.77515991797617,0,5.06918965932725,4.68842587636085,2.92967996083142,0.824533945595116
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168181893150044,0.274402036192177,0.168181893150044,0.274402036192177,0,0,1.67089999915574,1.00382079157201,1.62126930611151
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,2.22986768689824,3.19158232025355,3.57531934146722,4.93377237080714,3.23890422051127,6.97550686225724,2.85742169093775,5.52139807185343,3.12540861965095,4.24195856058601,6.42234787070587,2.71656001135748,2.71193919089957,4.08028542825054,4.98089673527938,4.26613175052161,4.27579094192008,8.18412902038381,3.33422939407765,3.82053872773685,2.36784993003626,2.64513256204456,1.43545675396465,4.57583838974158,4.42733168111909,3.16460457999493,0,4.19908003367998,3.85578489428873,6.88156424258679,0
0.19,1.23493034509615,1.83989092746665,1.58960169032215,3.63817132092055,2.03503747984807,3.01388073176986,2.42947398358508,2.20889404982129,3.63160972442276,2.6870192901419,5.29266025437053,4.269080864881,8.2531330864645,7.17335061067296,3.11121780160189,3.21345008832703,4.08971638092469,2.50414698565705,3.42651410067473,1.33862638094497,0.802898352096236,1.56578708402275,1.38472154721003,1.76861350888842,4.79063081253159,2.90256432392599,4.00184472988845,2.0470801371709,1.86158276889526,1.60097866029853,1.53443780087119,2.80812574381547,4.92112285500354,0
1.9,0.9207,0.6076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,1.96714637194025,1.39728639578701,2.73058892723598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.371221884759173,1.99169230367209,2.2836870649463,6.7404728298983,4.43766859937388,6.93283767375793,4.95662917029791,7.73731590121425,9.01401737030625,5.1209130342385,3.79672773911426,4.32978405127332,3.80282783029758,4.02623800072751,7.8126656900934,4.68674594022932,3.73682060904858,4.55496827934511,2.11098963266633,3.35760103993956,2.27399978921291,5.34244645407813,4.01587730067338,6.7265191534769,6.94487030967823,2.81538123104786,0,2.78734359303498,2.37945216127448,7.83870978189608,1.89576491418848
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.89,3.1977,3.3418,1.1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83808889599296,1.10426228468948,1.78349219611198,1.08195395570585,0,0,0,0,0.643086886256631,1.27331203478813,0
6.51,2.79378311473496,4.64937278637887,2.79363945837529,4.40572905982545,3.66596757107009,5.80092195873823,2.99177871278946,4.83687002888171,2.20388919154363,3.60697140437981,3.02006855024795,3.73078277103093,6.2712109126583,6.30232254066499,2.80913343709457,2.15381269747373,3.11125084449798,1.95902645543366,4.38406743024757,5.50496236660388,4.10737623670348,5.06844047134556,3.18371639980876,3.53848461665455,1.34871419484357,2.14702469180854,1.3302238582126,1.70110449770895,3.16770828790442,0,1.81686032083964,1.18443058438551,2.20129924811474,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,2.050841463363,5.95742751945699,2.64154193725737,4.67807925569117,3.12332546562135,1.39183792581895,2.30247309137351,1.01947713785263,0.71118614786814,0.215788257313869,0,0,0.396295836117417,2.14562929771011,3.43144153969377,3.39678051404029,1.67624691894513,0,0,0,1.62687644891916,3.25487647297308,3.58066628578725,3.96291709101979,4.4614551410999,3.30843304824157,3.09903913393041,3.5355120075985,2.22187617571324,1.94158479190506,4.66913256388194,2.60685016831927,4.16929336358304,1.8911704377894
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
