"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
6.665,4.13152219514663,4.42980088398842,7.07812059582726,4.22687083760748,7.98377472429959,6.37624686230497,3.58454746002796,3.1195124813786,5.03888545725423,3.06396819754412,5.01072194055727,3.38765467230956,4.77745969207427,4.74617253334187,2.38837886251313,2.49446296151869,4.82277086124061,5.41680621686823,3.35098205543511,2.61465441390135,3.54446911739916,1.94433362149571,3.3006375084303,2.11594502170161,2.71191901302252,1.35857432792575,2.38494882764165,1.46507277610412
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24,0.1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084090946575022,0.137201018096088,0.084090946575022
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,2.59875815653065,4.87989605982564,3.05215388887039,5.05278991840579,3.0656472954188,5.37830239049575,5.46341253159839,2.96532777038767,2.87471544517913,4.11093267430907,5.57988694117348,3.45381130633933,3.41943023855307,6.03091716684842,3.11497729369978,5.18590645334484,3.25631043879777,5.25814635226996,2.3602272913673,4.22648320722725,4.13235533660351
0.19,0.784723247633724,1.08775483944023,0.897054750313747,1.98147582774564,1.40433819231429,2.42885539963588,2.01578619388267,2.21318155883616,3.44625719046738,2.25374056845659,4.54391063599164,3.19837269932874,5.87785196223137,5.64036406747488,3.0865668338674,3.63272525076594,5.90433345751872,3.3644699785733,4.10837588555355,3.11334684392002,1.60668913432042,2.76602007531952,1.72050096882696,1.27354839410241,3.00064808064413,1.90273467483825,3.07341721951505,1.86279163197121
2.375,3.3759,3.038,1.4744,1.488,0.27075,0.2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
