"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","d_round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","d_round_34","round_35","round_36","round_37","d_round_37","round_38"
1,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
2,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
3,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
4,"H","A","A","H","A","H","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","A","H","","H","H","A","","H","A","H","A","A"
5,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
6,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
7,"H","A","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","H","H","A","H","","A","H","A","A"
8,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
9,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
10,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
11,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","A","H","H","A","H","A","H","","A","H","","A"
12,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
13,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
14,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
15,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
16,"A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","H","A","A","H","","A","H","A","H","A","H","H","A","","A","A","H","H","A","H","A","","H"
17,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
18,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
19,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
20,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
21,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
22,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
23,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
24,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
25,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
26,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
