"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
1,"Leicester","Stoke","Liverpool","Bournemouth","Chelsea","West Brom","Brighton","Watford","Everton","Swansea","Man City","Tottenham","Burnley","Huddersfield","Man Utd","Southampton","West Ham","Newcastle","Liverpool","Crystal Palace","West Brom","Chelsea","Bournemouth","Crystal Palace","Swansea","Everton","Tottenham","Man City","Brighton","Watford","Stoke","Stoke","Southampton","Newcastle","West Ham"
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swansea","Man City","Tottenham","Burnley","Huddersfield","Man Utd","Southampton","West Ham","Newcastle","Liverpool","Crystal Palace","West Brom","Chelsea","Bournemouth","Crystal Palace","Swansea","Everton","Tottenham","Man City","Brighton","Watford","Stoke","Stoke","Southampton","Newcastle","West Ham"
3,"Leicester","Stoke","Liverpool","Bournemouth","Chelsea","West Brom","Brighton","Watford","Everton","Swansea","Man City","Tottenham","Burnley","Huddersfield","Man Utd","Southampton","West Ham","Newcastle","Liverpool","Crystal Palace","West Brom","Chelsea","Bournemouth","Crystal Palace","Swansea","Everton","Tottenham","Man City","Brighton","Watford","Stoke","Stoke","Southampton","Newcastle","West Ham"
4,"Leicester","Stoke","Liverpool","Bournemouth","Chelsea","West Brom","Brighton","Watford","Everton","Swansea","Man City","Tottenham","Burnley","Huddersfield","Man Utd","Southampton","West Ham","Newcastle","Liverpool","Crystal Palace","West Brom","Chelsea","Bournemouth","Crystal Palace","Swansea","Everton","Tottenham","Man City","Brighton","Watford","Stoke","Stoke","Southampton","Newcastle","West Ham"
5,NA,NA,NA,"West Brom","Bournemouth","Newcastle","Arsenal","Everton","West Ham","Southampton","Swansea","Stoke","Man Utd","Crystal Palace","Liverpool","Huddersfield","Tottenham","Burnley","Watford","Chelsea","Newcastle","Bournemouth","West Brom","Chelsea","Southampton","West Ham","Stoke","Swansea","Arsenal","Everton","Leicester","Leicester","Huddersfield","Crystal Palace","Burnley"
6,"Man City","Leicester","Watford","West Brom","Bournemouth","Newcastle","Arsenal","Everton","West Ham","Southampton","Swansea","Stoke","Man Utd","Crystal Palace","Liverpool","Huddersfield","Tottenham","Burnley","Watford","Chelsea","Newcastle","Bournemouth","West Brom","Chelsea","Southampton","West Ham","Stoke","Swansea","Arsenal","Everton","Leicester","Leicester","Huddersfield","Crystal Palace","Burnley"
7,"Man City","Leicester","Watford","West Brom","Bournemouth","Newcastle","Arsenal","Everton","West Ham","Southampton","Swansea","Stoke","Man Utd","Crystal Palace","Liverpool","Huddersfield","Tottenham","Burnley","Watford","Chelsea","Newcastle","Bournemouth","West Brom","Chelsea","Southampton","West Ham","Stoke","Swansea","Arsenal","Everton","Leicester","Leicester","Huddersfield","Crystal Palace","Burnley"
8,"West Brom","Watford","Man City","Arsenal","Brighton","Everton","Leicester","Tottenham","Stoke","Chelsea","Newcastle","Huddersfield","Swansea","Burnley","Southampton","Crystal Palace","Man Utd","Liverpool","Man City","West Ham","Everton","Brighton","Arsenal","West Ham","Chelsea","Stoke","Huddersfield","Newcastle","Leicester","Tottenham","West Brom","Watford","Crystal Palace","Liverpool","Southampton"
9,"West Brom","Watford","Man City","Arsenal","Brighton","Everton","Leicester","Tottenham","Stoke","Chelsea","Newcastle","Huddersfield","Swansea","Burnley","Southampton","Crystal Palace","Man Utd","Liverpool","Man City","West Ham","Everton","Brighton","Arsenal","West Ham","Chelsea","Stoke","Huddersfield","Newcastle","Leicester","Tottenham","West Brom","Watford","Crystal Palace","Liverpool","Southampton"
10,"West Brom","Watford","Man City","Arsenal","Brighton","Everton","Leicester","Tottenham","Stoke","Chelsea","Newcastle","Huddersfield","Swansea","Burnley","Southampton","Crystal Palace","Man Utd","Liverpool","Man City","West Ham","Everton","Brighton","Arsenal","West Ham","Chelsea","Stoke","Huddersfield","Newcastle","Leicester","Tottenham","West Brom","Watford","Crystal Palace","Liverpool","Southampton"
11,NA,NA,NA,NA,NA,NA,"Leicester","Tottenham","Stoke","Chelsea","Newcastle","Huddersfield","Swansea","Burnley","Southampton","Crystal Palace","Man Utd","Liverpool","Man City","West Ham","Everton","Brighton","Arsenal","West Ham","Chelsea","Stoke","Huddersfield","Newcastle","Leicester","Tottenham","West Brom","Watford","Crystal Palace","Liverpool","Southampton"
12,"Chelsea","West Brom","Tottenham","Crystal Palace","Liverpool","Huddersfield","Everton","West Ham","Man City","Newcastle","Southampton","Swansea","Arsenal","Bournemouth","Leicester","Watford","Stoke","Brighton","Tottenham","Man Utd","Huddersfield","Liverpool","Crystal Palace","Man Utd","Newcastle","Man City","Swansea","Southampton","Everton","West Ham","West Brom","West Brom","Watford","Leicester","Stoke"
13,NA,NA,NA,NA,NA,"Huddersfield","Everton","West Ham","Man City","Newcastle","Southampton","Swansea","Arsenal","Bournemouth","Leicester","Watford","Stoke","Brighton","Tottenham","Man Utd","Huddersfield","Liverpool","Crystal Palace","Man Utd","Newcastle","Man City","Swansea","Southampton","Everton","West Ham","West Brom","West Brom","Watford","Leicester","Stoke"
14,NA,NA,NA,NA,NA,NA,NA,"West Ham","Man City","Newcastle","Southampton","Swansea","Arsenal","Bournemouth","Leicester","Watford","Stoke","Brighton","Tottenham","Man Utd","Huddersfield","Liverpool","Crystal Palace","Man Utd","Newcastle","Man City","Swansea","Southampton","Everton","West Ham","West Brom","West Brom","Watford","Leicester","Stoke"
15,"Chelsea","West Brom","Tottenham","Crystal Palace","Liverpool","Huddersfield","Everton","West Ham","Man City","Newcastle","Southampton","Swansea","Arsenal","Bournemouth","Leicester","Watford","Stoke","Brighton","Tottenham","Man Utd","Huddersfield","Liverpool","Crystal Palace","Man Utd","Newcastle","Man City","Swansea","Southampton","Everton","West Ham","West Brom","West Brom","Watford","Leicester","Stoke"
16,"Chelsea","West Brom","Tottenham","Crystal Palace","Liverpool","Huddersfield","Everton","West Ham","Man City","Newcastle","Southampton","Swansea","Arsenal","Bournemouth","Leicester","Watford","Stoke","Brighton","Tottenham","Man Utd","Huddersfield","Liverpool","Crystal Palace","Man Utd","Newcastle","Man City","Swansea","Southampton","Everton","West Ham","West Brom","West Brom","Watford","Leicester","Stoke"
17,"Burnley","Tottenham","Everton","Leicester","Arsenal","Stoke","Man City","Crystal Palace","Watford","Bournemouth","Man Utd","West Brom","Liverpool","Swansea","Newcastle","West Ham","Huddersfield","Southampton","Everton","Brighton","Stoke","Arsenal","Leicester","Brighton","Bournemouth","Watford","West Brom","Man Utd","Man City","Crystal Palace","Tottenham","Tottenham","West Ham","Southampton","Swansea"
18,"Burnley","Tottenham","Everton","Leicester","Arsenal","Stoke","Man City","Crystal Palace","Watford","Bournemouth","Man Utd","West Brom","Liverpool","Swansea","Newcastle","West Ham","Huddersfield","Southampton","Everton","Brighton","Stoke","Arsenal","Leicester","Brighton","Bournemouth","Watford","West Brom","Man Utd","Man City","Crystal Palace","Tottenham","Tottenham","West Ham","Southampton","Swansea"
19,"Burnley","Tottenham","Everton","Leicester","Arsenal","Stoke","Man City","Crystal Palace","Watford","Bournemouth","Man Utd","West Brom","Liverpool","Swansea","Newcastle","West Ham","Huddersfield","Southampton","Everton","Brighton","Stoke","Arsenal","Leicester","Brighton","Bournemouth","Watford","West Brom","Man Utd","Man City","Crystal Palace","Tottenham","Tottenham","West Ham","Southampton","Swansea"
20,"Huddersfield","Liverpool","Swansea","Burnley","Southampton","Man City","Man Utd","Chelsea","Newcastle","West Ham","Tottenham","Everton","Stoke","Brighton","West Brom","Bournemouth","Watford","Leicester","Swansea","Arsenal","Man City","Southampton","Burnley","Arsenal","West Ham","Newcastle","Everton","Tottenham","Man Utd","Chelsea","Huddersfield","Liverpool","Bournemouth","Brighton","Watford"
21,NA,NA,NA,NA,NA,NA,NA,NA,"Newcastle","West Ham","Tottenham","Everton","Stoke","Brighton","West Brom","Bournemouth","Watford","Leicester","Swansea","Arsenal","Man City","Southampton","Burnley","Arsenal","West Ham","Newcastle","Everton","Tottenham","Man Utd","Chelsea","Huddersfield","Liverpool","Bournemouth","Brighton","Watford"
22,"Huddersfield","Liverpool","Swansea","Burnley","Southampton","Man City","Man Utd","Chelsea","Newcastle","West Ham","Tottenham","Everton","Stoke","Brighton","West Brom","Bournemouth","Watford","Leicester","Swansea","Arsenal","Man City","Southampton","Burnley","Arsenal","West Ham","Newcastle","Everton","Tottenham","Man Utd","Chelsea","Huddersfield","Liverpool","Bournemouth","Brighton","Watford"
23,"Stoke","Man City","Chelsea","Tottenham","Man Utd","Bournemouth","Burnley","Brighton","Arsenal","Leicester","Watford","Crystal Palace","Southampton","West Ham","Huddersfield","Liverpool","Newcastle","Swansea","Chelsea","West Brom","Bournemouth","Man Utd","Tottenham","West Brom","Leicester","Arsenal","Crystal Palace","Watford","Burnley","Brighton","Stoke","Man City","Liverpool","Swansea","Newcastle"
24,"Stoke","Man City","Chelsea","Tottenham","Man Utd","Bournemouth","Burnley","Brighton","Arsenal","Leicester","Watford","Crystal Palace","Southampton","West Ham","Huddersfield","Liverpool","Newcastle","Swansea","Chelsea","West Brom","Bournemouth","Man Utd","Tottenham","West Brom","Leicester","Arsenal","Crystal Palace","Watford","Burnley","Brighton","Stoke","Man City","Liverpool","Swansea","Newcastle"
25,"Stoke","Man City","Chelsea","Tottenham","Man Utd","Bournemouth","Burnley","Brighton","Arsenal","Leicester","Watford","Crystal Palace","Southampton","West Ham","Huddersfield","Liverpool","Newcastle","Swansea","Chelsea","West Brom","Bournemouth","Man Utd","Tottenham","West Brom","Leicester","Arsenal","Crystal Palace","Watford","Burnley","Brighton","Stoke","Man City","Liverpool","Swansea","Newcastle"
26,"Crystal Palace","Newcastle","Southampton","West Ham","Leicester","Burnley","Tottenham","Swansea","Man Utd","Liverpool","West Brom","Bournemouth","Man City","Arsenal","Everton","Brighton","Chelsea","Watford","Southampton","Stoke","Burnley","Leicester","West Ham","Stoke","Liverpool","Man Utd","Bournemouth","West Brom","Tottenham","Swansea","Crystal Palace","Newcastle","Brighton","Watford","Everton"
27,NA,NA,NA,NA,NA,NA,"Tottenham","Swansea","Man Utd","Liverpool","West Brom","Bournemouth","Man City","Arsenal","Everton","Brighton","Chelsea","Watford","Southampton","Stoke","Burnley","Leicester","West Ham","Stoke","Liverpool","Man Utd","Bournemouth","West Brom","Tottenham","Swansea","Crystal Palace","Newcastle","Brighton","Watford","Everton"
28,"Crystal Palace","Newcastle","Southampton","West Ham","Leicester","Burnley","Tottenham","Swansea","Man Utd","Liverpool","West Brom","Bournemouth","Man City","Arsenal","Everton","Brighton","Chelsea","Watford","Southampton","Stoke","Burnley","Leicester","West Ham","Stoke","Liverpool","Man Utd","Bournemouth","West Brom","Tottenham","Swansea","Crystal Palace","Newcastle","Brighton","Watford","Everton"
29,"Arsenal","Brighton","Man Utd","Chelsea","Huddersfield","Liverpool","Bournemouth","West Brom","Swansea","Everton","Stoke","Man City","West Ham","Tottenham","Burnley","Newcastle","Southampton","Crystal Palace","Man Utd","Watford","Liverpool","Huddersfield","Chelsea","Watford","Everton","Swansea","Man City","Stoke","Bournemouth","West Brom","Brighton","Brighton","Newcastle","Burnley","Crystal Palace"
30,"Arsenal","Brighton","Man Utd","Chelsea","Huddersfield","Liverpool","Bournemouth","West Brom","Swansea","Everton","Stoke","Man City","West Ham","Tottenham","Burnley","Newcastle","Southampton","Crystal Palace","Man Utd","Watford","Liverpool","Huddersfield","Chelsea","Watford","Everton","Swansea","Man City","Stoke","Bournemouth","West Brom","Brighton","Brighton","Newcastle","Burnley","Crystal Palace"
31,"Arsenal","Brighton","Man Utd","Chelsea","Huddersfield","Liverpool","Bournemouth","West Brom","Swansea","Everton","Stoke","Man City","West Ham","Tottenham","Burnley","Newcastle","Southampton","Crystal Palace","Man Utd","Watford","Liverpool","Huddersfield","Chelsea","Watford","Everton","Swansea","Man City","Stoke","Bournemouth","West Brom","Brighton","Brighton","Newcastle","Burnley","Crystal Palace"
32,"Watford","Crystal Palace","Arsenal","Man City","Burnley","Leicester","Newcastle","Man Utd","Tottenham","Huddersfield","West Ham","Southampton","Chelsea","Stoke","Brighton","Everton","West Brom","Bournemouth","Arsenal","Swansea","Leicester","Burnley","Man City","Swansea","Huddersfield","Tottenham","Southampton","West Ham","Newcastle","Man Utd","Watford","Crystal Palace","Everton","Bournemouth","West Brom"
33,"Watford","Crystal Palace","Arsenal","Man City","Burnley","Leicester","Newcastle","Man Utd","Tottenham","Huddersfield","West Ham","Southampton","Chelsea","Stoke","Brighton","Everton","West Brom","Bournemouth","Arsenal","Swansea","Leicester","Burnley","Man City","Swansea","Huddersfield","Tottenham","Southampton","West Ham","Newcastle","Man Utd","Watford","Crystal Palace","Everton","Bournemouth","West Brom"
34,NA,NA,NA,"Man City","Burnley","Leicester","Newcastle","Man Utd","Tottenham","Huddersfield","West Ham","Southampton","Chelsea","Stoke","Brighton","Everton","West Brom","Bournemouth","Arsenal","Swansea","Leicester","Burnley","Man City","Swansea","Huddersfield","Tottenham","Southampton","West Ham","Newcastle","Man Utd","Watford","Crystal Palace","Everton","Bournemouth","West Brom"
