"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
1,"LEI","STK","LIV","BOU","CHE","WBA","BHA","WAT","EVE","SWA","MCI","TOT","BUR","HUD","MUN","SOU","WHU","NEW","LIV","CRY","WBA","CHE","BOU","CRY","SWA","EVE","TOT","MCI","BHA"
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWA","MCI","TOT","BUR","HUD","MUN","SOU","WHU","NEW","LIV","CRY","WBA","CHE","BOU","CRY","SWA","EVE","TOT","MCI","BHA"
3,"LEI","STK","LIV","BOU","CHE","WBA","BHA","WAT","EVE","SWA","MCI","TOT","BUR","HUD","MUN","SOU","WHU","NEW","LIV","CRY","WBA","CHE","BOU","CRY","SWA","EVE","TOT","MCI","BHA"
4,"LEI","STK","LIV","BOU","CHE","WBA","BHA","WAT","EVE","SWA","MCI","TOT","BUR","HUD","MUN","SOU","WHU","NEW","LIV","CRY","WBA","CHE","BOU","CRY","SWA","EVE","TOT","MCI","BHA"
5,NA,NA,NA,"WBA","BOU","NEW","ARS","EVE","WHU","SOU","SWA","STK","MUN","CRY","LIV","HUD","TOT","BUR","WAT","CHE","NEW","BOU","WBA","CHE","SOU","WHU","STK","SWA","ARS"
6,"MCI","LEI","WAT","WBA","BOU","NEW","ARS","EVE","WHU","SOU","SWA","STK","MUN","CRY","LIV","HUD","TOT","BUR","WAT","CHE","NEW","BOU","WBA","CHE","SOU","WHU","STK","SWA","ARS"
7,"MCI","LEI","WAT","WBA","BOU","NEW","ARS","EVE","WHU","SOU","SWA","STK","MUN","CRY","LIV","HUD","TOT","BUR","WAT","CHE","NEW","BOU","WBA","CHE","SOU","WHU","STK","SWA","ARS"
8,"WBA","WAT","MCI","ARS","BHA","EVE","LEI","TOT","STK","CHE","NEW","HUD","SWA","BUR","SOU","CRY","MUN","LIV","MCI","WHU","EVE","BHA","ARS","WHU","CHE","STK","HUD","NEW","LEI"
9,"WBA","WAT","MCI","ARS","BHA","EVE","LEI","TOT","STK","CHE","NEW","HUD","SWA","BUR","SOU","CRY","MUN","LIV","MCI","WHU","EVE","BHA","ARS","WHU","CHE","STK","HUD","NEW","LEI"
10,"WBA","WAT","MCI","ARS","BHA","EVE","LEI","TOT","STK","CHE","NEW","HUD","SWA","BUR","SOU","CRY","MUN","LIV","MCI","WHU","EVE","BHA","ARS","WHU","CHE","STK","HUD","NEW","LEI"
