"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
1,"ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS"
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS"
3,"ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS"
4,"ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS"
5,NA,NA,NA,"BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA"
6,"BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA"
7,"BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA","BHA"
8,"BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU"
9,"BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU"
10,"BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU"
11,NA,NA,NA,NA,NA,NA,"BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU","BOU"
12,"BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR"
13,NA,NA,NA,NA,NA,"BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR"
14,NA,NA,NA,NA,NA,NA,NA,"BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR"
15,"BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR"
16,"BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR","BUR"
17,"CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE"
18,"CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE"
19,"CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE","CHE"
20,"CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY"
21,NA,NA,NA,NA,NA,NA,NA,NA,"CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY"
22,"CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY"
23,"EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE"
24,"EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE"
25,"EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE"
26,"HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD"
