"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
1,1,4,6,12,22,28,34,35,36,38,40,48,54,60,61,63,69,75,78,79,80,82,84,87,88,90,94,95,97,112,112,112,114,115,115
2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,10
5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,3,9,11,12,21,24,27,33,35,41,43,46,55,55,57,59,70,76,78,84,87,88,90,92,94,102,104,108,115,115,116,119,124,124
8,3,5,8,11,13,14,20,22,24,27,36,44,50,51,53,61,63,64,64,65,67,69,71,74,81,83,83,84,87,88,91,93,95,98,98
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
13,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,2,6,12,21,25,28,37,45,53,55,57,59,65,76,82,84,85,91,93,95,97,108,113,116,119,122,131,131,132,135,141,143
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,9,9,9,9
18,1,7,13,15,21,27,30,32,34,40,47,53,56,62,64,66,68,74,80,86,92,93,99,99,100,101,107,109,111,113,113,113,115,119,119
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,11,12,14,17,18,19,19,19,19,19,19,21,30,30,30,30,30,30,30,37,39,47,49,51,56,57,60,62,65,71,73,75,75,85
21,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,3,5,6,8,10,10,10,21,23,25,31,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
23,6,10,12,14,15,18,20,22,25,26,27,29,29,42,51,53,63,65,74,84,86,88,90,93,95,95,98,101,104,111,114,115,125,129,135
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9,17,23,24,26,33,34,35,40,48,56,56,58,58,59,65,66,68,71,74,83,84,84,86,88,98,100,102,104,110,112,114,115,122,122
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,8,17,19,21,23,33,35,38,44,46,47,50,52,62,63,66,68,70,69,71,77,88,97,98,100,101,103,104,106,106,121,122,123,123
32,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,14,14,15,17,23,32,40,43,51,52,58,59,65,71,73
33,0,6,6,8,10,16,19,25,25,31,33,39,41,46,48,50,50,56,57,64,64,67,67,67,67,67,67,67,67,67,67,67,67,67,67
34,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,6,8,10,12,18,24,32,33,39,40,42,48,50,52,55,58,65,67,73,79,93,96,97,100,106,108,110,125,131,138,138,140,141,143,149
37,6,12,19,21,28,36,42,51,52,61,65,68,74,75,83,85,96,99,100,101,108,114,121,127,129,135,137,141,142,144,144,150,152,NA,NA
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,9,9,9,9,16,25,27,30,30,33,33,33,33,33,33,33,33,33,33
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,12,18,18,24,26,28,30
42,2,4,11,19,22,24,26,27,34,37,40,41,42,42,42,42,42,45,54,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
43,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,9,20,21,28,31,40,41,47,49,51,53,55,60,63,66,67,71,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,11,13,14,15,17,24,25,25,26,28,37,37
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,14,16,19,20,20,22,22,23,29,30,30,30,30,33,35,37,39,43,47,49,52,55,64,71,73,76,82,93,95,98,101,102,105,110
48,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6,7,14,18,29,30,33,39,41,43,45,48,57,62,63,69,71,80,83,84,87,89,92,100,103,106,112,112,114,123,123,125,127,130,139
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
54,7,8,10,16,22,23,29,35,39,41,41,43,45,46,48,50,59,61,67,69,69,77,83,83,90,91,97,104,111,113,113,116,119,124,124
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,8,14,21,21,23,24,27,28,30,31,38,46,46,48,51,52,53,55,58,59,61,62,62,62,62,62,62,62,62,62,62,62,62,62
59,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,14,15,22,30,32,33,35,36,38,44
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,7,13,15,17,22,24,25,25,28,29,31,32,34,36,42,44,54,55,56,64,67,69,76,79,82,83,85,87,89,90,92,93,95,104,105
62,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,15,21,22,25,25,31,33,35,37,38,45,47,48,48,48,48,48,48,48
65,0,1,3,9,15,16,22,31,32,35,36,38,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,52,55,58,59
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,3,3,9,14,22,33,34,35,37,38,44,50,56,56,57,63,70,74,75,77,85,93,95,95,97,99,100,101,101,101,107,107,107,109
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,5,5,5,5,6,7,7,13,14,15,16
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,1,0,0,0,0,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,11,12,12,12,12,12,12,12,18,18,18,19,20,20
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5,7,7,18,23,29,35,36,37,51,52,58,64,73,74,76,76,76,76,77,78,78,78,79,79,80,80,80,80,86,86,86,87,87,87
75,0,0,0,6,13,19,19,21,21,23,23,31,40,46,46,48,57,65,66,67,76,76,76,86,87,94,96,97,98,98,98,98,98,98,100
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,9,10,12,12,12,12,12,12,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
78,1,3,3,10,19,26,41,42,49,51,51,56,62,68,69,71,79,84,85,85,85,85,85,101,109,110,112,112,112,112,112,118,118,119,128
79,0,2,2,8,14,20,26,26,26,26,26,40,47,54,54,54,54,54,54,62,63,64,65,67,68,73,74,75,76,88,88,96,97,98,99
80,0,0,0,0,0,0,1,1,7,8,14,15,17,17,17,17,18,24,24,24,33,33,34,34,36,38,40,42,44,43,43,43,45,48,48
81,1,2,2,9,9,16,17,18,26,28,34,35,37,43,43,44,44,51,57,57,63,64,65,65,65,65,65,65,66,66,66,66,66,68,68
82,1,2,11,13,14,19,19,25,32,33,40,41,42,48,51,52,53,58,58,59,65,66,68,67,69,71,73,75,81,82,82,83,84,87,87
83,-1,0,6,8,9,15,16,17,23,25,30,31,31,36,34,35,36,44,51,52,58,59,60,60,62,63,65,65,73,74,74,75,77,82,82
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
85,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,NA,NA,0,0,0,0,1,1,2,2,2,3,3,3,3,3,4,4,4,5,5,7,7,6,8,10,12,14,15,15,15,16,18,19,19
88,1,2,9,11,12,18,18,20,20,20,20,20,20,26,26,27,27,27,35,36,36,37,37,37,37,37,37,37,37,38,38,38,38,38,38
89,1,2,2,3,5,6,12,13,15,16,17,18,24,24,25,25,27,27,26,27,33,39,41,43,43,43,44,51,53,56,56,56,56,56,56
90,3,4,4,5,7,8,17,19,21,23,30,36,42,43,45,46,48,47,47,56,58,59,61,63,77,79,79,83,85,85,87,91,92,93,93
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,3,10,11,13,19,25,27,29,31,37,45,51,52,54,55,57,57,57,57,57,58,60,62,68,70,70,70,72,73,78,79,80,82,82
93,2,2,2,2,4,5,11,13,15,16,22,20,20,21,23,24,26,26,26,26,28,28,29,31,37,39,38,39,41,41,42,42,42,44,44
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,2,2,2,3,3,4,4,5,6,8,23,28,35,36,36,37,37,38,38,39,41,50,52,54,60,61,60,61,63,63,65,66,71,72,72
97,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,14,20,21,21,27,28,29,30,32,33,33,33,33,33,33,33,33,33,33
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,15,16,21,27,27,27,27,29,30,32,34,34,34,34,34,39,48,50
99,4,6,8,14,16,22,28,30,31,39,45,51,53,53,53,53,53,53,53,53,53,53,53,53,53,57,59,61,68,74,74,76,77,80,82
100,0,2,4,10,12,18,25,27,28,37,45,51,53,55,56,56,56,62,63,64,69,70,72,73,75,76,78,80,82,88,88,90,90,90,90
101,1,3,5,11,13,18,24,26,26,31,38,44,46,48,50,56,62,68,68,68,68,69,71,73,73,73,73,73,75,82,82,84,86,88,94
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,7,13,14,15,17,19,21,23,23,23,23,23,23,23,23,23
103,7,9,11,19,21,29,41,43,44,50,56,61,63,65,67,75,76,76,76,76,76,76,76,76,76,76,76,78,80,86,86,88,90,93,95
