"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
1,4296,1919,5315,1994,11183,14811,8561,2062,13884,1127,1377,4395,5487,3342,7643,1822,5762,2352,2606,3607,1170,7449,3782,13879,206,98,1044,1456,1585
2,NA,NA,NA,NA,NA,NA,NA,NA,37,30,31,22,17,20,18,16,10,25,9,28,22,33,20,23,6,9,15,10,6
3,111,101,103,81,139,151,104,31,41,27,34,30,17,21,31,23,18,25,20,45,34,54,40,37,5,11,32,7,10
4,194,105,153,73,147,117,136,65,38,20,21,46,36,38,44,26,28,48,48,51,31,58,40,85,12,140,56,33,58
5,NA,NA,6333,9883,9496,10703,7929,1794,1676,1033,1129,892,625,731,629,699,644,850,571,1176,1245,2849,1141,1061,262,425,810,352,344
6,1123,1001,1057,2506,6866,3499,2411,846,614,397,455,428,274,248,272,395,343,501,333,591,578,1184,353,264,65,124,234,5666,13868
7,1014,382,1118,1178,695,2560,2054,1870,9402,1202,4088,771,3607,5757,5485,956,1741,11767,5131,12523,32809,32115,10565,16696,2256,1810,12970,5255,8110
8,10868,3089,4160,7178,1929,1637,1843,1672,1413,1702,12607,20602,19084,13525,7867,7919,3510,1698,3012,2103,3922,2726,2586,3161,3849,2929,3740,1570,3409
9,342,146,351,454,453,405,491,213,228,170,256,233,231,203,204,123,122,148,97,197,169,303,171,334,143,310,437,215,350
10,3122,2636,1651,607,968,1010,659,272,244,179,317,214,106,118,107,138,152,176,139,197,187,1023,1039,797,184,331,674,250,298
11,NA,NA,NA,NA,NA,6921,3664,627,814,633,401,343,209,191,191,264,232,337,181,359,336,376,16,24,5,11,14,7,8
12,8806,1452,6579,376,122,75,81,55,58,44,80,42,28,43,38,28,33,46,27,50,43,99,79,121,19,26,79,26,34
13,NA,NA,NA,NA,3315,1611,941,188,216,129,176,167,77,100,100,107,121,182,123,246,231,463,179,189,34,70,157,72,68
14,NA,NA,NA,NA,NA,NA,3489,937,772,484,571,500,318,360,331,343,331,475,332,658,575,1334,561,452,110,206,397,181,200
15,61,32,51,1569,7356,2770,16729,7362,25675,18782,66280,35474,30990,22606,17261,29900,57107,31765,13481,41066,35472,78777,22764,43244,10168,25996,44440,18114,14884
16,10,4,8,4,5,4,1,1,3,2,3,4,2,2,3,2,0,3,2,4,2,8,1,5,0,1,1,2,0
17,93,62,86,41,54,29,33,33,51,33,40,10,14,19,16,9,15,19,25,23,15,34,511,7109,58,50,96,25,30
18,3896,14072,19628,10609,14357,10367,32529,6796,17041,6700,28193,10152,30697,61574,28198,5983,6338,6941,12644,30828,13410,29550,31391,10578,3322,3744,3347,1546,10121
19,94,78,77,49,66,56,66,39,37,31,43,18,16,23,12,13,15,25,19,38,26,39,37,61,5,21,25,14,19
20,642,14609,1834,1528,529,335,350,380,744,217,501,567,1188,10412,1781,864,334,414,151,247,5855,6445,12873,17359,3245,4826,7535,5777,7027
21,NA,NA,NA,NA,NA,NA,NA,868,465,353,407,341,214,176,183,222,197,321,177,316,348,656,294,224,56,118,300,137,110
22,2064,2065,1725,2051,4147,3043,2113,14766,26347,15233,25872,21893,10148,9230,36523,17282,7684,14691,5312,15517,20339,15131,2887,3928,938,688,225,94,121
23,20761,20493,7041,5220,11718,4700,1571,602,1824,1612,2620,823,551,14858,8863,11586,21177,6296,31012,57575,17598,27271,36188,11099,1392,2292,4250,3185,8674
24,101,78,113,57,93,82,69,33,38,23,41,26,25,36,36,21,27,34,24,67,48,87,65,59,23,22,78,74,95
25,331,255,243,160,188,181,114,67,61,63,68,46,24,69,49,31,30,39,33,53,68,72,29,39,14,26,22,12,10
26,2007,2014,1733,1656,3353,2316,1557,522,630,416,496,421,272,262,298,372,330,549,335,605,562,1199,17281,49159,10595,16018,32066,11795,1112
27,NA,NA,NA,NA,NA,2844,1761,570,611,459,508,430,256,288,306,260,283,361,228,484,429,886,420,335,74,151,310,109,172
28,46636,85197,103234,58974,15400,32609,13949,2215,8779,34354,52763,12149,10541,5985,6017,4089,3434,4100,6247,4820,8138,8215,3851,1661,241,4284,5439,4467,19768
