"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
1,16636,20176,19982,9910,9590,11240,10180,9652,10322,13073,10181,3304,3166,5462,6100,5288,3959,7448,3679,6247,7388,8902,7358,6118,3632,7683,4015,2013,2585
2,NA,NA,NA,NA,NA,NA,NA,NA,17,16,19,25,26,20,24,15,13,27,16,30,16,37,33,18,4,11,30,12,10
3,5553,3667,3023,1964,1858,1438,1259,664,834,666,685,447,355,380,496,264,289,444,272,450,403,670,420,404,92,143,311,143,123
4,1317,1080,879,513,568,468,433,257,563,330,262,96,99,95,131,102,86,133,123,160,61,157,120,155,42,61,209,81,81
5,NA,NA,1193,1725,2397,1941,2252,1129,1536,1107,1760,799,797,1643,1435,774,804,822,604,1203,1628,2438,1387,1330,288,376,987,442,535
6,3165,3600,3926,2968,3435,2287,2264,1449,1789,1383,1374,840,817,846,975,655,671,962,633,926,1275,1905,1072,1063,215,316,682,454,1070
7,1315,2334,2024,1586,1872,1504,1708,898,2206,1662,1368,1692,1068,2156,2039,2682,1815,2416,3139,3265,6763,11474,9742,6991,1537,2522,3743,4823,3689
8,8515,19633,18087,11817,16069,11650,10134,5642,7423,4517,3748,3679,3412,5534,7120,8417,7777,9091,4901,8582,9708,12785,7181,7485,994,2372,5968,4243,3609
9,24070,24688,17787,12332,12864,9073,7172,4387,4763,4029,3803,2402,2026,2012,2144,1390,1501,1753,1167,1953,1432,2251,1655,1610,249,394,960,460,572
10,8155,9258,18074,14514,13686,9289,8252,5102,5962,4550,4433,2779,2242,2482,2856,1690,1780,2482,1695,2824,2830,4118,1779,1775,305,473,1118,585,640
11,NA,NA,NA,NA,NA,802,827,365,504,388,328,210,186,224,274,215,211,246,183,255,343,791,508,436,87,122,260,149,125
12,17749,36031,25886,73278,65319,34685,23057,13027,12092,9019,8450,4484,3451,4018,3738,2249,2350,2498,1718,2684,1357,2857,1773,1648,307,482,1064,521,528
13,NA,NA,NA,NA,528,412,343,169,231,165,185,103,90,108,145,93,110,139,106,145,198,297,181,189,31,57,142,79,82
14,NA,NA,NA,NA,NA,NA,480,278,313,233,243,194,160,171,228,164,199,253,166,276,273,573,332,370,57,123,284,120,158
15,212,250,215,402,1417,1230,2845,2305,3439,3275,4693,6450,4033,6758,7749,4015,4833,14674,13870,11446,26879,24012,29596,19277,4754,3392,12896,10486,13722
16,87,37,38,23,17,21,8,7,18,7,10,7,7,13,4,3,5,8,4,9,6,12,3,5,1,4,6,1,3
17,779,594,494,300,266,257,215,139,151,124,131,74,66,71,79,57,55,67,55,86,44,93,113,1580,1159,469,598,241,210
18,73275,41398,34028,30114,28925,35141,24337,28992,29189,23850,14441,15962,8928,6879,21852,24155,28722,19591,8006,13697,35547,29555,37890,78802,4544,8665,22510,15967,6835
19,681,386,316,202,200,172,151,81,118,103,90,71,60,37,65,31,27,63,41,55,37,69,54,84,11,22,49,26,28
