FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,18516,0,2,0,0,0,0,0,1.2,89,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11767,0,0,0,0,136,21,0,0,19,Crystal Palace,Man Utd,Bournemouth,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5500000,0,64,3.2,5.81818181818182E-07,1.16363636363636E-05,0,1273037,0,25,0,0,0,4,0,11.6,4974,0,0,64,0,0,0,0,8,0,4,0,2,3.9,1294123,0,0,0,1,1390,218,0,0,184,Leicester,Burnley,Brighton,West Ham,Huddersfield,2.9,3.1,2.9,3.6,2.8,3.5,2.3,2.8,3.7,2.7,2.4,3.1,4.1,83.4
Charlie,Adam,MID,STK,4700000,2,13,0.52,1.1063829787234E-07,2.76595744680851E-06,0,6998,1,7,0,0,0,0,0,2.8,28,-3,0,13,3,0.4,0,1.7,0,0,2,0,0,0.1,3062,0,0,0,0,349,32,0,0,62,Bournemouth,Brighton,Leicester,Southampton,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.8
,Adam Smith,DEF,BOU,4800000,0,43,2,4.16666666666667E-07,8.95833333333333E-06,0,41637,5,31,0,0,0,0,0,9,487,-2,0,43,2,0.3,0,1.3,3,0,2,0,2,0.4,8412,0,0,0,0,1766,61,0,0,321,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0,1.3,1.4,1.2,1.6,1.8,1.8,2.8,1.4,1.7,1.6,1.5,1.6,74.9
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,0,0,0,0,0,103,0,0,0,Burnley,Leicester,Arsenal,Chelsea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,2,37,1.48,3.36363636363636E-07,8.40909090909091E-06,0,62189,2,13,0,33,0,0,0,8.4,2068,-1,0,37,1,0.5,0,2.4,1,0,3,0,0,3.7,237638,0,0,0,0,990,1125,0,0,191,Brighton,Watford,Liverpool,Swansea,Burnley,0.9,1.2,0.8,0.7,1.2,1.1,1.2,0.8,1.3,0.7,0.9,0.7,0.9,22.1
Ibrahim,Afellay,MID,STK,4800000,0,6,0.24,5E-08,1.25E-06,0,1645,1,9,0,0,0,0,0,1.3,9,-2,0,6,2,0,0,0,0,0,0,0,0,0,1183,0,0,0,0,162,7,0,0,29,Bournemouth,Brighton,Leicester,Southampton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,32589,0,12,0,0,0,0,0,4.2,96,-3,0,24,3,0.1,0,0.3,0,0,0,0,1,0.2,7401,0,0,0,0,534,44,0,0,73,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11900000,6,139,7,5.88235294117647E-07,1.16806722689076E-05,0,2820696,1,10,0,0,0,17,0,11.7,10713,4,0,139,-4,0.7,0,8.5,19,0,11,0,5,29.1,3735771,0,0,0,3,1601,23222,0,0,591,Burnley,Leicester,Arsenal,Chelsea,Stoke,8.9,9.9,7.4,7.8,8.8,10.1,8.7,9.6,8.1,9.7,8.8,10.3,9.2,240.3
Nathan,Ake,DEF,BOU,4900000,14,77,3.1,6.3265306122449E-07,1.57142857142857E-05,0,341812,3,34,0,0,0,2,0,15.7,1295,-1,0,77,1,1.2,0,6,7,0,5,0,1,4.3,177801,0,0,0,1,2182,24843,0,0,434,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,3.6,2.7,2.9,2.5,3.2,3.4,3.5,4.4,2.9,3.3,3.2,3,3.1,82.5
