FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,18959,0,2,0,0,0,0,0,1.2,185,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11772,0,0,0,0,136,2,0,0,19,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5500000,0,64,3.2,5.81818181818182E-07,1.16363636363636E-05,0,1290348,0,25,0,0,0,4,0,11.6,5429,0,0,64,0,0,0,0,8,0,4,0,2,3.6,1295248,0,0,0,1,1390,597,0,0,184,Burnley,Brighton,West Ham,Huddersfield,Southampton,3.1,2.9,3.6,2.8,3.5,2.2,2.9,3.7,2.7,2.5,3.2,4,83.4
Charlie,Adam,MID,STK,4700000,0,13,0.5,1.06382978723404E-07,2.76595744680851E-06,0,7139,1,7,0,0,0,0,0,2.8,81,-3,0,13,3,0.3,0,1.3,0,0,2,0,0,0.1,3184,0,0,0,0,349,41,0,0,62,Brighton,Leicester,Southampton,Man City,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,21.8
,Adam Smith,DEF,BOU,4800000,0,43,2,4.16666666666667E-07,8.95833333333333E-06,0,43391,5,31,0,0,0,0,0,9,558,-2,0,43,2,0.2,0,1,3,0,2,0,2,0.4,8435,0,0,0,0,1766,15,0,0,321,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,1.3,1.4,1.2,1.7,1.8,1.8,2.7,1.4,1.7,1.6,1.5,1.6,74.9
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,1118,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,2193,0,0,0,0,0,171,0,0,0,Leicester,Arsenal,Chelsea,Stoke,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,1,38,1.46153846153846,3.32167832167832E-07,8.63636363636364E-06,0,70669,2,16,0,35,0,0,0,8.6,3549,-1,0,38,1,0.4,0,1.8,1,0,3,0,0,3.7,241954,0,0,0,0,1080,1069,0,0,203,Watford,Liverpool,Swansea,Burnley,Man Utd,1.2,0.8,0.7,1.2,1.1,1.1,0.8,1.2,0.7,0.9,0.7,0.9,23.9
Ibrahim,Afellay,MID,STK,4800000,0,6,0.230769230769231,4.80769230769231E-08,1.25E-06,0,1679,1,9,0,0,0,0,0,1.3,22,-2,0,6,2,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,162,12,0,0,29,Brighton,Leicester,Southampton,Man City,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33080,0,12,0,0,0,0,0,4.2,182,-3,0,24,3,0.1,0,0.3,0,0,0,0,1,0.2,7404,0,0,0,0,534,0,0,0,73,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,11900000,2,141,6.7,5.63025210084034E-07,1.18487394957983E-05,0,2887557,1,11,0,0,0,17,0,11.8,45362,4,0,141,-4,0.6,0,7.5,19,0,11,0,5,29.3,3818349,0,0,0,3,1691,16433,0,0,605,Leicester,Arsenal,Chelsea,Stoke,Brighton,9.5,6.9,7.6,8.3,9.8,8.2,9.1,7.6,9.2,8.3,10,8.8,251.8
Nathan,Ake,DEF,BOU,5000000,2,79,3,6E-07,1.58E-05,0,350671,3,35,0,0,0,2,0,15.8,4913,0,0,79,0,1,0,5,7,0,5,0,1,5.6,259335,0,0,0,1,2272,19538,0,0,448,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,2.6,2.7,2.3,3.1,3.3,3.2,4.3,2.7,3.2,3.1,2.9,3,87.9
Marc,Albrighton,MID,LEI,5600000,2,88,3.4,6.07142857142857E-07,1.57142857142857E-05,0,277857,4,28,0,0,0,2,0,15.7,13886,1,0,88,-1,0.4,0,2.3,11,0,6,0,6,3.7,376473,0,0,0,2,1927,2273,0,0,359,Man City,Stoke,Bournemouth,West Brom,Arsenal,1.8,3.6,3.7,2.8,3.9,2.4,3.6,2.7,3.3,2.5,3.9,2.1,122.5
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.46153846153846,2.51989389920424E-07,6.55172413793103E-06,0,647817,3,7,0,0,0,0,0,6.6,787,-2,0,38,2,0,0,0,3,0,5,0,0,4.6,161582,0,0,0,0,900,241,0,0,200,Arsenal,Crystal Palace,Huddersfield,Bournemouth,Newcastle,0,1.4,1.3,0.7,0.9,0.8,0.8,0.9,0.9,1.2,0.7,1,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,0,36,1.38461538461538,3.2967032967033E-07,8.57142857142857E-06,0,266840,3,12,0,0,0,1,0,8.6,4511,-3,0,36,3,0,0,0,4,0,3,0,1,2.7,281230,0,0,0,1,799,5046,0,0,189,Southampton,West Ham,Newcastle,Man Utd,Watford,0.9,1.2,0.8,0.7,1.1,1.3,0.7,0.8,0.7,1.1,0.8,1.2,50.8
Joe,Allen,MID,STK,5100000,2,79,3.3,6.47058823529412E-07,1.54901960784314E-05,0,206286,5,40,0,0,0,2,0,15.5,4225,-4,0,79,4,0.9,0,4.5,10,0,4,0,4,2,107237,0,0,0,2,2142,1753,0,0,381,Brighton,Leicester,Southampton,Man City,Everton,3.5,2.5,2.7,2.3,4.2,2.1,3,2.6,3.2,1.9,3.4,2.8,112.4
Bamidele,Alli,MID,TOT,8900000,1,116,4.6,5.1685393258427E-07,1.30337078651685E-05,0,2052530,5,22,0,0,0,5,0,13,12615,-6,0,116,6,0.4,0,3.5,7,0,10,0,10,12.5,974897,0,0,0,2,2101,3556,0,0,355,Arsenal,Crystal Palace,Huddersfield,Bournemouth,Newcastle,5.9,4,6.5,4.7,5.6,3.9,4.1,3.9,3.9,5,4.4,5.6,179.9
Marcos,Alonso,DEF,CHE,7400000,0,138,5.5,7.43243243243243E-07,1.86486486486487E-05,0,1073634,5,19,0,0,0,6,0,18.6,50308,4,0,138,-4,0.5,0,3.8,13,0,12,0,1,26,1537796,0,0,0,4,2143,9035,0,0,525,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0,5.8,6,7.9,7.1,7.3,7.9,7.2,8,6.2,7.6,6.2,163
Daniel,Amartey,MID,LEI,4300000,0,12,0.461538461538462,1.07334525939177E-07,2.7906976744186E-06,0,21242,0,7,0,0,0,0,0,2.8,735,-2,0,12,2,0.5,0,2,0,0,3,0,0,0.3,22664,0,0,0,0,467,546,0,1,50,Man City,Stoke,Bournemouth,West Brom,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.4
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0384615384615385,8.54700854700855E-09,2.22222222222222E-07,0,550,0,1,0,0,0,0,0,0.2,16,0,0,1,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,10,15,0,0,6,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.7
