FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,19439,0,2,0,0,0,0,0,1.2,252,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11785,0,0,0,0,136,8,0,0,19,Bournemouth,Liverpool,Southampton,Tottenham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,65,3.1,5.74074074074074E-07,1.2037037037037E-05,0,1307800,0,25,0,0,0,4,0,12,10136,-1,0,65,1,0.1,0,0.3,8,0,4,0,2,3.4,1303930,0,0,0,1,1406,2614,0,0,187,Brighton,West Ham,Huddersfield,Man Utd,West Brom,2.7,3.5,2.6,0,2.1,2.7,3.6,2.6,2.4,3,3.9,88.6
Charlie,Adam,MID,STK,4700000,-1,12,0.444444444444444,9.45626477541371E-08,2.5531914893617E-06,0,7363,1,7,0,0,0,0,0,2.6,128,-3,0,12,3,0.1,1,0.3,0,0,2,0,0,0.1,3307,0,0,0,0,360,79,0,0,60,Leicester,Southampton,Man City,Everton,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,25.8
,Adam Smith,DEF,BOU,4800000,1,44,1.9,3.95833333333333E-07,9.16666666666667E-06,0,44432,5,32,0,0,0,0,0,9.2,299,-2,0,44,2,0.1,0,0.3,3,0,2,0,2,0.4,8641,0,0,0,0,1786,191,0,0,325,Newcastle,Leicester,Tottenham,West Brom,Watford,1.4,1,1.6,1.7,1.6,2.5,1.3,1.7,1.5,1.5,1.4,75.2
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,1493,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,0,0,0,0,0,371,0,0,0,Arsenal,Chelsea,Stoke,Everton,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,7,45,1.66666666666667,3.78787878787879E-07,1.02272727272727E-05,0,85292,2,16,0,39,0,0,0,10.2,9290,-1,0,45,1,0.7,0,3.3,1,0,4,0,0,3.5,248947,0,0,0,0,1170,5203,0,0,233,Liverpool,Swansea,Burnley,Southampton,Chelsea,0.9,0.8,1.5,0,1.4,0.9,1.6,0.9,1.1,0.8,1.2,26.2
Ibrahim,Afellay,MID,STK,4800000,0,6,0.222222222222222,4.62962962962963E-08,1.25E-06,0,1737,1,9,0,0,0,0,0,1.3,40,-2,0,6,2,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,162,40,0,0,29,Leicester,Southampton,Man City,Everton,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33518,0,12,0,0,0,0,0,4.2,266,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7411,0,0,0,0,534,6,0,0,73,Newcastle,Leicester,Tottenham,West Brom,Watford,0,0,0,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,12000000,21,162,7.4,6.16666666666667E-07,1.35E-05,0,3061497,1,12,0,0,0,21,0,13.5,133185,5,-1,162,-5,0.8,0,9.7,22,0,11,0,5,29.3,3990155,0,0,0,4,1781,141722,1,0,707,Arsenal,Chelsea,Stoke,Everton,Man Utd,8,8.8,9.2,0,9,10.6,8.6,10.4,9,11.1,9.8,279
Nathan,Ake,DEF,BOU,5000000,0,79,2.9,5.8E-07,1.58E-05,0,376948,3,39,0,0,0,2,0,15.8,19132,0,0,79,0,1.1,0,5.3,7,0,5,0,1,6.3,318661,0,0,0,1,2362,22351,0,0,465,Newcastle,Leicester,Tottenham,West Brom,Watford,2.7,2.1,3,3.2,3,4.2,2.6,3.2,3,2.8,2.7,90.5
