FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.02325581395349E-07,1.16279069767442E-06,0,19447,0,2,0,0,0,0,0,1.2,2,-2,0,5,2,0,0,0,0,0,0,0,0,0.2,11785,0,0,0,0,136,0,0,0,19,Liverpool,Southampton,Tottenham,Huddersfield,Leicester,0,0,0,0,0,0,0,0,0,0,4.6
Tammy,Abraham,FWD,SWA,5400000,0,65,3.1,5.74074074074074E-07,1.2037037037037E-05,0,1308068,0,25,0,0,0,4,0,12,28,-1,0,65,1,0.1,0,0.3,8,0,4,0,2,3.4,1303982,0,0,0,1,1406,16,0,0,187,West Ham,Huddersfield,Man Utd,West Brom,Everton,3.5,2.7,0,2.2,2.7,3.7,2.6,2.5,3.1,3.9,88.6
Charlie,Adam,MID,STK,4700000,0,12,0.428571428571429,9.11854103343465E-08,2.5531914893617E-06,0,7368,2,7,0,0,0,0,0,2.6,3,-3,0,12,3,0.1,1,0.3,0,0,2,0,0,0.1,3313,0,0,0,0,376,1,0,0,62,Southampton,Man City,Everton,Arsenal,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,25.8
,Adam Smith,DEF,BOU,4800000,0,44,1.9,3.95833333333333E-07,9.16666666666667E-06,0,44439,5,32,0,0,0,0,0,9.2,3,-2,0,44,2,0.1,0,0.3,3,0,2,0,2,0.4,8646,0,0,0,0,1786,2,0,0,325,Leicester,Tottenham,West Brom,Watford,Crystal Palace,1.1,1.6,1.7,1.6,2.6,1.3,1.7,1.6,1.5,1.4,75.2
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0,0,0,0,1499,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2755,0,0,0,0,0,4,0,0,0,Chelsea,Stoke,Everton,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4400000,0,45,1.60714285714286,3.6525974025974E-07,1.02272727272727E-05,0,85660,2,16,0,39,0,0,0,10.2,32,-1,0,45,1,0.6,0,2.5,1,0,4,0,0,3.5,249088,0,0,0,0,1170,30,0,0,233,Swansea,Burnley,Southampton,Chelsea,Stoke,0.8,1.4,0,1.4,0.9,1.5,0.8,1.1,0.8,1.1,26.2
Ibrahim,Afellay,MID,STK,4800000,0,6,0.214285714285714,4.46428571428571E-08,1.25E-06,0,1739,1,9,0,0,0,0,0,1.3,2,-2,0,6,2,0,0,0,0,0,0,0,0,0,1266,0,0,0,0,162,0,0,0,29,Southampton,Man City,Everton,Arsenal,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.45614035087719E-07,4.21052631578947E-06,0,33520,0,12,0,0,0,0,0,4.2,1,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7411,0,0,0,0,534,0,0,0,73,Leicester,Tottenham,West Brom,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,31.3
Sergio,Aguero,FWD,MCI,12000000,0,162,7.4,6.16666666666667E-07,1.35E-05,0,3068691,1,12,0,0,0,21,0,13.5,614,5,0,162,-5,0.6,0,7.3,22,0,11,0,5,29.2,3991572,0,0,0,4,1781,405,0,0,707,Chelsea,Stoke,Everton,Man Utd,Tottenham,9,9.2,0,9,10.7,8.6,10.4,9,11.1,9.7,279
Nathan,Ake,DEF,BOU,5000000,0,79,2.9,5.8E-07,1.58E-05,0,377343,3,39,0,0,0,2,0,15.8,90,0,0,79,0,0.8,0,4,7,0,5,0,1,6.3,319392,0,0,0,1,2362,126,0,0,465,Leicester,Tottenham,West Brom,Watford,Crystal Palace,2.1,3.1,3.2,3.1,4.2,2.6,3.2,3,2.9,2.8,90.5
