"","id","name","type"
"1","sr:player:13249","Bravo, Claudio","goalkeeper"
"2","sr:player:44614","Walker, Kyle","defender"
"3","sr:player:124992","Danilo","defender"
"4","sr:player:6019","Kompany, Vincent","defender"
"5","sr:player:152077","Stones, John","defender"
"6","sr:player:138534","Sterling, Raheem","midfielder"
"7","sr:player:45853","Gundogan, Ilkay","midfielder"
"8","sr:player:17094","Aguero, Sergio","forward"
"9","sr:player:149734","Laporte, Aymeric","defender"
"10","sr:player:70996","De Bruyne, Kevin","midfielder"
"11","sr:player:24048","Delph, Fabian","midfielder"
"12","sr:player:293519","Sane, Leroy","midfielder"
"13","sr:player:331209","Silva, Bernardo","midfielder"
"14","sr:player:11781","Silva, David","midfielder"
"15","sr:player:139225","Mendy, Benjamin","defender"
"16","sr:player:352668","Adarabioyo, Tosin","defender"
"17","sr:player:13630","Fernandinho","midfielder"
"18","sr:player:74915","Otamendi, Nicolas","defender"
"19","sr:player:254491","Ederson","goalkeeper"
"20","sr:player:835751","Jesus, Gabriel","forward"
"21","sr:player:287643","Zinchenko, Olexandr","midfielder"
"22","sr:player:14468","Toure, Yaya","midfielder"
"23","sr:player:769115","Nmecha, Lukas","forward"
"24","sr:player:937356","Duhaney, Demeaco","defender"
"25","sr:player:1047129","Foden, Philip","forward"
"26","sr:player:1047063","Muric, Arijanet","goalkeeper"
"27","sr:player:937374","Diaz, Brahim","midfielder"
"28","sr:player:1047095","Latibeaudiere, Joel","defender"
"29","sr:player:1299440","Dele Bashiru, Tom","midfielder"
"30","sr:player:937340","Grimshaw, Daniel","goalkeeper"
"31","sr:player:934542","Wilson, Tyreke","defender"
"32","sr:player:69378","De Gea, David","goalkeeper"
"33","sr:player:143334","Lindelof, Victor","defender"
"34","sr:player:606346","Bailly, Eric","defender"
"35","sr:player:93868","Jones, Phil","defender"
"36","sr:player:46998","Rojo, Marcos","defender"
"37","sr:player:111802","Pogba, Paul","midfielder"
"38","sr:player:34120","Sanchez, Alexis","forward"
"39","sr:player:28367","Mata, Juan","midfielder"
"40","sr:player:78893","Lukaku, Romelu","forward"
"41","sr:player:2089","Ibrahimovic, Zlatan","forward"
"42","sr:player:191176","Martial, Anthony","forward"
"43","sr:player:47741","Smalling, Chris","defender"
"44","sr:player:205508","Lingard, Jesse","midfielder"
"45","sr:player:938","Carrick, Michael","midfielder"
"46","sr:player:44864","Blind, Daley","defender"
"47","sr:player:10589","Young, Ashley","defender"
"48","sr:player:903830","Rashford, Marcus","forward"
"49","sr:player:25566","Romero, Sergio","goalkeeper"
"50","sr:player:82474","Ander Herrera","midfielder"
"51","sr:player:190839","Shaw, Luke","defender"
"52","sr:player:11820","Valencia, Antonio","defender"
"53","sr:player:21764","Fellaini, Marouane","midfielder"
"54","sr:player:44241","Matic, Nemanja","midfielder"
"55","sr:player:19352","Darmian, Matteo","defender"
"56","sr:player:908372","McTominay, Scott","midfielder"
"57","sr:player:280945","Pereira, Joel","goalkeeper"
"58","sr:player:361346","Borthwick-Jackson, Cameron","defender"
"59","sr:player:1089762","Gomes, Angel","midfielder"
"60","sr:player:3063","Evra, Patrice","defender"
"61","sr:player:14120","Reid, Winston","defender"
"62","sr:player:43443","Cresswell, Aaron William","defender"
"63","sr:player:27622","Fonte, Jose","defender"
"64","sr:player:11796","Zabaleta, Pablo","defender"
"65","sr:player:21927","Arnautovic, Marko","forward"
"66","sr:player:45944","Kouyate, Cheikhou","midfielder"
"67","sr:player:18998","Carroll, Andy","forward"
"68","sr:player:220315","Lanzini, Manuel","midfielder"
"69","sr:player:354172","Hugill, Jordan","forward"
"70","sr:player:50539","Adrian","goalkeeper"
"71","sr:player:46799","Obiang, Pedro","midfielder"
"72","sr:player:9741","Noble, Mark","midfielder"
"73","sr:player:34312","Chicharito","forward"
"74","sr:player:97001","Joao Mario","midfielder"
"75","sr:player:9729","Collins, James","defender"
"76","sr:player:21164","Ogbonna, Angelo","defender"
"77","sr:player:254713","Byram, Sam","defender"
"78","sr:player:759874","Haksabanovic, Sead","midfielder"
"79","sr:player:16817","Hart, Joe","goalkeeper"
"80","sr:player:174975","Masuaku, Arthur","defender"
"81","sr:player:47772","Antonio, Michail","midfielder"
"82","sr:player:330099","Fernandes, Edimilson","midfielder"
"83","sr:player:816106","Cullen, Joshua","midfielder"
"84","sr:player:1146738","Trott, Nathan","goalkeeper"
"85","sr:player:936370","Quina","forward"
"86","sr:player:769105","Holland, Nathan","forward"
"87","sr:player:934552","Rice, Declan","midfielder"
"88","sr:player:960596","Browne, Marcus Alexander","midfielder"
"89","sr:player:936294","Neufville, Vashon","defender"
"90","sr:player:1372516","Johnson, Ben","midfielder"
"91","sr:player:1029455","Diangana, Grady","midfielder"
"92","sr:player:936134","Kemp, Daniel","midfielder"
"93","sr:player:1116525","Afolayan, Oladapo","forward"
"94","sr:player:138530","Pickford, Jordan","goalkeeper"
"95","sr:player:27009","Schneiderlin, Morgan","midfielder"
"96","sr:player:9766","Baines, Leighton","defender"
"97","sr:player:110846","Keane, Michael","defender"
"98","sr:player:20204","Williams, Ashley","defender"
"99","sr:player:10507","Jagielka, Phil","defender"
"100","sr:player:46620","Bolasie, Yannick","forward"
"101","sr:player:751","Rooney, Wayne","forward"
"102","sr:player:10501","Walcott, Theo","forward"
"103","sr:player:42892","Mangala, Eliaquim","defender"
"104","sr:player:72127","Tosun, Cenk","forward"
"105","sr:player:73763","Martina, Cuco","defender"
"106","sr:player:39283","McCarthy, James","midfielder"
"107","sr:player:106337","Gueye, Idrissa","midfielder"
"108","sr:player:43192","Sigurdsson, Gylfi","midfielder"
"109","sr:player:226780","Niasse, Oumar","forward"
"110","sr:player:97410","Klaassen, Davy","midfielder"
"111","sr:player:1941","Stekelenburg, Maarten","goalkeeper"
"112","sr:player:76632","Coleman, Seamus","defender"
"113","sr:player:186991","Tarashaj, Shani","forward"
