"Surname"	"gw_1"	"ge_2"	"ge_3"
"1"	"Aarons"	0.654537144611319	1.65453714461132	2.65453714461132
"2"	"Abraham"	1.6969109928491	2.6969109928491	3.6969109928491
"3"	"Adam"	0.498712064425073	1.49871206442507	2.49871206442507
"4"	"Adam Smith"	1.6043616595703	2.6043616595703	3.6043616595703
"5"	"Adrian"	0.659854921821707	1.65985492182171	2.65985492182171
"6"	"Afellay"	0.649946830440856	1.64994683044086	2.64994683044086
"7"	"Afobe"	0.98792727747427	1.98792727747427	2.98792727747427
"8"	"Aguero"	3.95357641409781	4.95357641409781	5.95357641409781
"9"	"Ake"	1.92345017445158	2.92345017445158	3.92345017445158
"10"	"Albrighton"	1.73724718195393	2.73724718195393	3.73724718195393
"11"	"Alderweireld"	4.32260326026378	5.32260326026378	6.32260326026378
"12"	"Alexander-Arnold"	1.16084448121431	2.16084448121431	3.16084448121431
"13"	"Allen"	3.25382610248836	4.25382610248836	5.25382610248836
"14"	"Alli"	4.90810568853185	5.90810568853185	6.90810568853185
"15"	"Alonso"	3.73018872303864	4.73018872303864	5.73018872303864
"16"	"Amartey"	0.654294656931344	1.65429465693134	2.65429465693134
"17"	"Amrabat"	0.652969450566012	1.65296945056601	2.65296945056601
"18"	"Antonio"	2.09491555356346	3.09491555356346	4.09491555356346
"19"	"Arfield"	3.88799952874435	4.88799952874435	5.88799952874435
"20"	"Arnautovic"	1.04379934410257	2.04379934410257	3.04379934410257
"21"	"Arter"	1.80579216058195	2.80579216058195	3.80579216058195
"22"	"Atsu"	3.41563339472467	4.41563339472467	5.41563339472467
"23"	"Austin"	0.99214520585642	1.99214520585642	2.99214520585642
"24"	"Ayew"	3.75644701398932	4.75644701398932	5.75644701398932
"25"	"Ayew"	1.6202527927392	2.6202527927392	3.6202527927392
"26"	"Azpilicueta"	4.29825895105319	5.29825895105319	6.29825895105319
"27"	"Bailly"	2.91957618505048	3.91957618505048	4.91957618505048
"28"	"Baines"	1.28451714972531	2.28451714972531	3.28451714972531
"29"	"Bakayoko"	1.47857698768383	2.47857698768383	3.47857698768383
"30"	"Baldock"	0.496174419659866	1.49617441965987	2.49617441965987
"31"	"Bardsley"	0.651514524486163	1.65151452448616	2.65151452448616
"32"	"Barkley"	0.700873327253255	1.70087332725325	2.70087332725325
"33"	"Barnes"	1.27231368482174	2.27231368482174	3.27231368482174
"34"	"Barrow"	0.65018931812083	1.65018931812083	2.65018931812083
"35"	"Barry"	2.15730106244678	3.15730106244678	4.15730106244678
"36"	"Bartley"	0.651514524486163	1.65151452448616	2.65151452448616
"37"	"Batshuayi"	0.517834687644969	1.51783468764497	2.51783468764497
